reviewText,AspectTerm,Sentiment
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,FOOD-QUALITY,negative
"Maybe it was the great company (I had friends visiting from Philly – yes, it was not a date this time) or the super reasonable price point, but I just can’t say enough good things about this brasserie.",RESTAURANT-GENERAL,positive
LOL I immediately went back and bought like 5 more to snack on while at work !,food general,positive
It meets all my needs for work and pleasure while traveling.,LAPTOP-MISCELLANEOUS,positive
"Hey, they are what they are and do what they do. They say they'll pick up a digital signal, and they do. But when someone gets too close, it kind of scrambles the picture momentarily. We used them for a while, but finally upgraded to a better digital antennae. We actually put it in the attic (if you have that option) because we found a storng wind will affect reception. OPTION: Pay for cable :(",No Aspect,neutral
"Haven't tried this out yet because I didn't realize it would be so big.  However, it does look very well-made.",No Aspect,neutral
And if you are a game player it works with World Of Warcraft wonderfully.,LAPTOP-MISCELLANEOUS,positive
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,LAPTOP-QUALITY,neutral
"The Garmin GLO is a great little 10Hz bluetooth GPS unit except for the fact that it appears to turn itself on & off at random.It is my belief that the Off/On switch itself is EXTREMELY touch & vibration sensitive, and this is the cause of most of the off/on complaints listed here in the reviews section.Frustrating that such a nice product has such an annoying flaw.",No Aspect,neutral
Love the key layout and the built-in mouse pad - all work well and are properly sized.,KEYBOARD-OPERATION_PERFORMANCE,positive
The color of the chocolates had a whiteish color like they have been packaged for a long time .,food style_options,negative
"Microsoft Office is a 30 day trial, a number of games and apps are already preloaded.",LAPTOP-DESIGN_FEATURES,neutral
The Renew still needs to renew their air conditioner units which are aging and a little week .,room_amenities quality,negative
i was looking for protection not perfection and this works but it is a bit of a pain to get on I was glad it came with 3 because I will be changing it later do to the dust that got trapped under it when trying to get it on,protection,neutral
"It was a little hard , stale and the flavor was off .",food quality,negative
"The rooms and hallways are a bit dated , but they are spotless and have many amenities .",rooms cleanliness,positive
"If you just need a place to sleep and don ' t plan to spend any time in the room , it might be fine , otherwise , I ' d look elsewhere .",hotel general,neutral
The only time I have restarted is during system updates.,LAPTOP-OPERATION_PERFORMANCE,positive
"The flavors are good , especially Dr . Zevia .",food quality,positive
"This drive is recognized by my ASUS board bios, and partially by Windows 8.1 - need to figure out how to get this straightened out.",board bios,neutral
"It was a clean hotel , nicely decorated , however the rooms and bathrooms are a bit small , so if your traveling with 4 - 5 women you may want a larger room .",rooms design_features,negative
"This thing works pretty well. It is cheap and flimsy, but what do you expect? It does broadcast audio to your radio, and there is only a tiny amount of static unless you are using a frequency that is already being used. I was disapointed that I couldn't get my ipod touch to charge off of the included USB port using my standard ipod cable.",ipod,neutral
i spent eight hundred dollars from a giant paper weight that looks good on a bus.,LAPTOP-DESIGN_FEATURES,neutral
"had to order it to be sure but this cable ended up being a little short.  If your looking for a tight fit, it might be good for you, but I prefer a little more slack.  Ultimately I went with the 24&#34; version from Valley Enterprises that included molds that keep the audio out of your ear canal.",No Aspect,neutral
"Service was good , but still not compable to five star hotels like the Peninsula or Four Seasons .",service general,positive
"It ' s OK , but not as good as the regular Twinings Earl Grey .",food general,neutral
"Delicious flavor , a little on the strong side for those who like it strong .",food quality,positive
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,BATTERY-OPERATION_PERFORMANCE,positive
"USB drives aren't only about their storage capacity, they are about the data transfer rates as well.  To fill up this 16GB card, it will take 5-10 minutes.  There are other drives out there than can fill it up in a minute.  I'd personally suggest you look for another drive.",storage capacity,neutral
I really recommend the very simple Unda (Egg) rolls.,FOOD-QUALITY,positive
The drinks are always welll made and wine selection is fairly priced.,DRINKS-QUALITY,positive
The worst excuse for Japanese food I've ever encountered.,FOOD-QUALITY,negative
The hotel represents good value for NYC and has an excellent health centre and pool .,hotel general,positive
Had to order more it was so good .,food general,positive
"After doing much research for a laptop that had all the features I was looking for, This one hit all the criteria I had.",LAPTOP-DESIGN_FEATURES,positive
"Just FYI for fellow readers, the SACD/DVD-A multichannel audio is provided through its analog outputs - it will only do stereo through its digital outputs.  Therefore it does do multichannel audio, just not through the digital outputs.",digital outputs,neutral
"I used to get a pound of Pastrami for $14, but it didn't taste very good-I had better food in other places for less.",FOOD-PRICES,neutral
The cost was no more than buying at a brick and mortar store and the product arrived with excellent freshness .,food prices,positive
Was so excited to see Cappuccino Cups offered by Amazon . . . . after one sip of this stuff I knew that something was wrong .,amazon availability,positive
"Fantastic hotel , staff very helpfull and polite rooms spotless and central location superb , within walking distance of all attractions just a short walk down to the marina , the tour bus stops just up the street ( 鈧 ? 20 / person all day unlimited travel )  .",service general,positive
"Gave as a gift. It wasn't very pleasing to the recipient - my mistake. I thought it would clean glasses, but instead they will have to use it for just jewelry which was very welcome",glasses,neutral
"It's a little out of our price range for dining there except on special occasions, but we've eaten there 6 times in the last 2 years.",RESTAURANT-PRICES,negative
My wife and I stayed here for 3 nights on our way back to the UK .,hotel general,positive
"fo sho ,, not very nice ,, I dont recommend u may find better,,",No Aspect,neutral
My dog loved these treats . and I like the fact that they contain all healthy ingredients .,food quality,positive
We had a great stay of 5 days - so close to best part of the city and major attractions !,location general,positive
"This is a minimal Palm, with a small and barely readable display, modest memory, no external communication except for a PC link, and no telephone.  But that is what I wanted when I bought it, and it functions quite satisfactorily for my major application (ePocrates in a medical practice).",No Aspect,neutral
"My experience of the hotel was a series of difficulties -  - a reservation canceled without notice , a free wifi system that was down ( a fact discovered only after spending ten minutes on the phone being given various nonworking passwords )  , a general lack of timely information from the desk clerks .",facilities quality,negative
"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.",MOUSE-OPERATION_PERFORMANCE,negative
the packaging was very good. It protected the memory well I never expected that amount of protection. I place the memory into my computer and it read up I now have 3gb of memory it is working so good so far. thank you,No Aspect,neutral
review hotel des grands hommes staff nice and welcoming .,service general,positive
"This isnt a true jet black like it shows in the picture.. it is more of a gray when you have your sessions.. with the right editing tools you can change it to a jet black.. so if you don't mind the extra edits, then this is the muslin for you! Its very big and durable though!",No Aspect,neutral
The hotel has a perfect location to discover the heart of Madrid by foot !,location general,positive
"Rooms are on the smaller side , but very comfortable .",rooms design_features,positive
The room ( # 6 ) is very small and obviously the web site photos are very unrealistic .,hotel miscellaneous,negative
A five minute walk from the Duomo and various excellent side - street restaurants make it a very strong choice .,location general,positive
I was quite pleased with e flavor of this product .,food style_options,positive
Awesome time Just returned from my vacation and I had a fantastic time .,hotel general,positive
"it does the job, just remember, theres no internal memory...youre going to need to get an sd card to go with it.",sd card,neutral
"No preservatives , artificial color or flavors means I can safely eat this cereal daily without feeding the cancer cells .",food quality,positive
"Service ok but unfriendly,filthy bathroom.",SERVICE-GENERAL,negative
"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",FOOD-QUALITY,negative
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,FOOD-QUALITY,positive
"It is sleek, smooth, and lightweight.",LAPTOP-DESIGN_FEATURES,positive
Great Hotel !  !,hotel general,positive
But no one could tell me when my part would be shipped nor could they tell me where to buy it ON THEIR WEBSITE!!!,SUPPORT-QUALITY,negative
"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",FOOD-QUALITY,positive
I take all my NYC guests to VT's.,RESTAURANT-MISCELLANEOUS,positive
"The rooms are on the shabby side - old paint , outdated upholstery , chipped furniture .",room_amenities quality,negative
The rooms were good but a on the small side .,rooms general,positive
"Return process went well Comcast said that the item was defective, but this is the second time that comcast has said that about a modem that wasn't from them, so I do not trust them.",No Aspect,neutral
"The rooms are very comfortable and we had great nights sleep , didn ' t eat in hotel as was abit pricey for our liking , they did recommend very good eating places nearby that suited our requirements perfectly .",rooms comfort,positive
"Good hotel , outside city center Large hotel outside city center ( 15 min walk ) on the river Arno .",location general,positive
"Not as salty as some other brands , with firm flesh and delicate flavor , it ' s a real treat on a salad , with crackers , in a fresh - bread sandwich , or straight out of the can on a camping trip or picnic .",food quality,positive
"I bought this initially for my sound system, but then had to get another upgrade with a remote.  If you plan to put is somewhere remote, it won't give much to the project.  I did upgrade to another version of Lepai.",sound system,neutral
"Great food, amazing service, this place is a class act.",FOOD-QUALITY,positive
I love drinking it when eating a chocolate desert .,food general,positive
"The pasta penne was pretty extra buttery, creamy which means a big task to diggest.. tasty at first but i would say that i was full with a slice of pizza and 7 to count, penne...got a little moody afterwards cause was stuffed...lol",FOOD-QUALITY,negative
I bought this lens for its price. It takes ages to focus. The build quality is pretty bad. Pictures come out pretty sharp. Not for low light situations.,No Aspect,neutral
"I use this to hook up my Macbook Pro to my 42"" TV.  It is nice that it carries audio on the cable, so the sound comes out of my TV, too.  This lasted about a year before it stopped working.  Not sure if that is an acceptable lifespan.",No Aspect,neutral
"Its healthy , good for your immune system and gives a great boost when you most need it .",food general,positive
The California room was wonderful ; with a huge bathroom which included a shower and soaking tub .,rooms general,positive
I like to use it at the race track to handiecap the horse races.,LAPTOP-MISCELLANEOUS,positive
the netflix 3D movies are not plying as the LG .. i think this TV has an issue with the 3Dnot happy with it,No Aspect,neutral
"The bed was enormous , the room was extremely clean and well equipped and the AC was a welcome break for the extreme heat during our stay in NYC !  !",room_amenities quality,positive
Loved It .  .  .,hotel general,positive
these are budget but good enough quality cases at a good price.  pleased with this purchase.  just what i needed.,No Aspect,neutral
but I had assumed that there would be some sort of room service or some facitilites to make tea / coffee in your room,service general,negative
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,MOTHERBOARD-QUALITY,negative
"Amazon description says with software, box it came in says with software but it did not come with software.  I saw another review on here with the same complaint so I am not alone.",No Aspect,neutral
The room was a little dated but clean .,rooms design_features,neutral
"It is easy to use, good quality and good price.",LAPTOP-QUALITY,positive
The foyer and pool are dingy and in need of a bit of work,facilities miscellaneous,negative
"The staff isn ' t the best , but friendly and accomodating .",service general,neutral
Next time I will just buy english tea .,food general,positive
It is amazing.,LAPTOP-GENERAL,positive
The hotel is well located for business in the West End and for shopping - we will be back .,hotel general,positive
I don ' t think any coffee drinkers will be displeased with this roast .,food general,positive
"It works well, but I had to get a former fireman that was a communications officer to program it for me. it also has a more limited range than a desk type scanner.",program,neutral
Christine was very helpfull and very patient with all the questions we had as the first time travelers to Paris with absolutly no knowledge of French .,service general,positive
"The atheros chips don't support all the dd-wrt functionality.  Vlans don't work, logging only works to external syslog server.  crashed and was hacked with a dados attack but that is likely a software issue.  Had to resort to command line to configure as the GUI doesn't work for atheros chips on certain functions.  Need to know Linux well",No Aspect,neutral
"very nice , perfect location !  !  !",location general,positive
The only thing that the hotel could improve on was seating in the main lobby -  - there is a couple of chairs and a couch and alot of empty space .,facilities comfort,neutral
"They are a very good way to add not only Omega 3 ' s but extra protein to a meal and although the taste is very mild , they are quite good .",food quality,neutral
Amazing location - within walking distance of most major attractions .,location general,positive
"Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.",SERVICE-GENERAL,negative
Perfect We have just returned from 6 nights at the Apsis Atrium Palace .,hotel general,positive
"The bars are a mixture of seeds , fruit , and some nuts .",food style_options,positive
"Anyway , these little bites are perfect : no wheat gluten , no weird ingredients that I can ' t pronounce , and made in the U .",food general,positive
It is delicious and would highly recommend it .,food quality,positive
I lost two items I was working on until I figured out what was happening.,MOUSE-OPERATION_PERFORMANCE,negative
The mattress was very firm .,room_amenities quality,negative
"However, go for the ambience, and consider the food just a companion for a trip across the world!",FOOD-QUALITY,neutral
i purchased this wipes just to complete the $25 cap to get free shipping. the wipes are so wet that they left a water mark on the screen and if there is dust arround you will have your screen even dirty. they clean the screen fine and can be reused one more time if you don't let them dry.,No Aspect,neutral
It is also a good place to pick up a low priced breakfast or lunch .,food_drinks prices,positive
"Good grief , I can get it at Walmart for $ 1 .",amazon prices,negative
Purchased to install Pioneer FH-X700BT stereo in 2004 Toyota 4Runner.  The Adapter could not be used without purchasing an additional adapter for the small antenna lead.  Installed the stereo without the second antenna and tuning was terribly weak.  Removed and reinstalled with adapter and problem was solved.,No Aspect,neutral
"This is a great hotel , on arrival we were upgraded without asking to a delux room with great views of a wonderful city .",rooms general,positive
Careful when purchasing . . .,food general,neutral
I am very happy with this laptop.,LAPTOP-GENERAL,positive
These are simply the best treats for your dog .,food quality,positive
It appears I need to give my dog an entire bag to get him 500 mg of glucosamine .,food general,negative
Priced at upper intermediate range.,RESTAURANT-PRICES,negative
"Im a bit disappointed. The &#34;built in screen protector&#34; was loose inside the package and not glued ito position when it arrived. I was able to line it back up and press it back into place. Not bad, but not perfect. Cheaper than the name brand one. I would buy one again, but I hope that they improve the overall quality of the product.",No Aspect,neutral
"Pros :  - great location - convenient for walking places - tianamen , restaurants etc - safe - internet - nice building interiors , food , spa - courteous staff - decent priceCons :  - dirty bathroom - moldy , water didn ' t drain in shower - smelly hallways - my entire hallway smelled of mold and cigarette smoke",rooms cleanliness,negative
The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT-MISCELLANEOUS,positive
That's about the best thing I could says for this product. It was one of those stocking stuffer items for my wife that she liked and immediately stopped using.,No Aspect,neutral
"The ambience was nice, but service wasn't so great.",AMBIENCE-GENERAL,positive
The teabags are pyramidal in shape .,food style_options,positive
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,LAPTOP-MISCELLANEOUS,neutral
"A very nice hotel , attentive staff - but expensive drinks .",food_drinks prices,negative
I managed to drink a little of this but it needed much doctoring .,food general,negative
"The lobster knuckles (special of the day) were ok, but pretty tasteless.",FOOD-STYLE_OPTIONS,neutral
"A big downside for adults is that the blue / purple colors turn your tongue blue , and it will stay that way until you brush your tongue clean with your toothbrush .",food general,negative
"Filter is okay.  Made with a cheap aluminum ring and low quality glass, but it does protect my lens.  Picture quality is slightly better without it so I'll use my lens hood as protection until I can buy a B +W multi-coated filter.",Filter,neutral
"This seems to be a common problem with Marriotts , in my experience ( maybe with all hotels as well , but I stay almost exclusively at Marriotts .  )",hotel comfort,negative
I love this flavor ; it ' s one of my favorites put out by Crystal Light ( it ' s still available at some stores as well as on Amazon ) .,amazon availability,positive
The food was average or above including some surprising tasty dishes.,FOOD-QUALITY,positive
I ordered three of these and one of them was torm when i got it so it was unusable. The seller gave me money back right away but overall i dont like the item much. They are very very small and if you are using them to pick up slack on headphones they might work but I was suing them to store headphones and wasnt very happy with the results,No Aspect,neutral
"Aparthotel Silver is a good , clean , tourist class hotel in a quiet neighbourhood just north of the city centre .",hotel general,positive
"Like most protectors of this nature, they're very hard to install without getting bubbles beneath them from the smallest of dust particles.  I can see there is a great need for an invention to remove the dust while installing these.",No Aspect,neutral
"It was in a good location , right next to Chinatown , but it should not be called a hotel , but a cheap motel or a hovel .",location general,positive
"Cute, but typically Chinese with a little struggle to learn to operate with minimal instructions, etc.",No Aspect,neutral
breakfast buffet .  .  .  .  .  .  .  .  .  .,food_drinks quality,positive
It took almost 20 minutes to boot up.,LAPTOP-OPERATION_PERFORMANCE,negative
The ginger in the online version is alot stronger than the crystals that I purchased .,food quality,positive
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",LAPTOP-OPERATION_PERFORMANCE,positive
Rooms clean and simply decorated .,rooms design_features,positive
My dog does not nor will she chew on this .,food general,negative
It would be a load on long trips where a lot of walking is required.,LAPTOP-PORTABILITY,negative
I was looking forward to this unit. Have had lots of Sony devices over the years and they usually pack a lot punch in small packages. But I was disappointed with this unit. The Bass was anemic. When you enabled their synthetic bass boost. The Midrange disappeared !! The Bose Sound Link II blew it away.,No Aspect,neutral
"Average to good Thai food, but terrible delivery.",FOOD-QUALITY,positive
This is a good deal considering the cost.,LAPTOP-PRICE,neutral
"I think she ate close to the entire can by herself , in fact , purring like crazy the entire time !",food general,positive
I don't know if its because of my phone but the %  on my phone never doesn't go up to much. I believe its my phone so if you like this type of thing get it can't go wrong with the price but its something that is not for my phone which is the S5.,No Aspect,neutral
Battery could be better but it has robust processor and plenty of RAM so that is a trade off I suppose.,MEMORY-DESIGN_FEATURES,positive
"Nice and light, seems to help your work instead of becoming work itself.",LAPTOP-DESIGN_FEATURES,positive
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",BATTERY-OPERATION_PERFORMANCE,positive
"The Decor was really modern and nice , The hotel was clean and beds were confortable .",rooms design_features,positive
"You ' re supposed to use this on your Okonomiyaki and takoyaki , but you could use it for anything , even steak !",food general,positive
I ' m generally not picky when it comes to sugar substitutes - I get that nothing is going to match sugar exactly in taste .,food quality,negative
The staff are friendly and the concierge are excellent for information about the best way to get to sights .,service general,positive
Delightful and Romantic !  !,hotel design_features,positive
"The hotel is very dated and dingy , with a funky smell throughout .",hotel design_features,negative
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",FOOD-QUALITY,positive
In my case I have a Fuji Xp70 so the lens is in the top left corner. I am about 1/4-1/2 inch short on adjust ability to get it centered over the eye piece. Hoping I can get a longer screw for the bottom bracket and add in a 1/2 inch spacer so I can use it with that camera. Will update later if successful on how well it works and give it more stars if it warrants it.,No Aspect,neutral
Great location ; Comfortable hotel - shame about the building We picked the Radisson by chance out of a very long list of Boston hotels .,hotel design_features,negative
This product is wonderful !,food quality,positive
The hotel is in a great location for all the main tourist attractions in San Francisco .,location general,positive
It has a nice nutty pecan flavor and doesn ' t tatste cheap !,food quality,positive
It ' s ideal they come in a 12 pack .,food style_options,positive
"X - Sticks are less dry , far less greasy , and more tender to chew .",food style_options,positive
I will definitely be staying here again in the future .,hotel general,positive
"The Omni is a very nice hotel , refreshing change from the norm in the middle of the French Quarter .",hotel general,positive
"But having some difficulty getting it to work via Bluetooth to my Windows 7 (Dell) laptop.  It will work when plugged in via USB, but not via Bluetooth.  Works via Bluetooth for everything else I have tried (phones, Macs, etc.)",USB,neutral
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",AMBIENCE-GENERAL,neutral
"I purchased these speakers for VW Eurovan, because most other speakers won't fit without customization. I replaced factory VW speakers and I was not impressed with Alpine SXE-1750S. No bass. Factory VW speakers have more bass.Don't buy Alpine SXE-1750S if you don't have subwoofer.",subwoofer,neutral
By far the best laptop I've ever had.,LAPTOP-GENERAL,positive
System hangs a lot.  Some times just reboots. Key board is somewhat awkward and space bar really needs to be hit square on in order for it to work,No Aspect,neutral
"Welp, This protector is still on my Galaxy tab however, it didn't fit well for some reason.  Can't remember what the problem was but I had to cut it down.  Even cut down though I was able to apply it with no dust bubbles.",No Aspect,neutral
The spices were accurate if a little cheap tasting .,food quality,negative
Don ' t forget to hit the CasinoYou ' ll love it !,facilities design_features,positive
Tradeoffs,hotel general,negative
The location is excellent close to Union Square .,location general,positive
"I tried using it on my Macbook Air. The tracking speed, even when set to maximum just isn't the as sensitive as my Evoluent mouse. Using this 8 hours a day, this will cause a problem as the idea it to limit the amount of space that I need to move the mouse left and right. However, the size is right and the price was even better, for ~$20 this is steal.",No Aspect,neutral
"The size of the hotel was perfect , with a boutique atmosphere .",hotel design_features,positive
"I recently bought a used 2000 Acura TL, an incredible vehicle and the car was in EXCELLENT shape. I bought this to replace my music experience with beautiful Bose speakers. There's a slight fuzziness to the music, so I wasn't so wild about that. However, it gets the job done. If the ancient cassette is your only option, this will get the job done.",No Aspect,neutral
"The screen's reduced size, which is smaller than that of the laptop, necessitates some adjusting.",DISPLAY-DESIGN_FEATURES,neutral
"The atmosphere is unheralded, the service impecible, and the food magnificant.",FOOD-QUALITY,positive
We've tried before but it always packed and doesn't take reservations.,RESTAURANT-MISCELLANEOUS,neutral
"The taste , however , is reasonably good .",food quality,positive
They helped me to find another hotel for the night ( many hotels were full that night ) but Idon ' t think I will book again this hotel for my next stays in Barcellona .,hotel general,negative
"Overall, a high quality laptop and a great value considering all this computer has to offer.",LAPTOP-GENERAL,positive
Loved the Marriott Marquis I was a bit unsure about this location due to the possibility of noise .,location general,neutral
This drink gave me a whopper and I had to leave work early .,food general,negative
"Bagels are welcome, but please don't ask for anything special.",FOOD-QUALITY,neutral
Nasty .,food quality,negative
Using this machine is like a mild form of torture.,LAPTOP-USABILITY,negative
"lightweight, long battery life, excellent transition from PC;",LAPTOP-DESIGN_FEATURES,positive
"The hotel could use some freshening up , and I agree that it ' s not four - star quality .",hotel general,neutral
"Expensive , Run down , Dirty",hotel cleanliness,negative
"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",DISPLAY-QUALITY,positive
My dog became deathly ill a couple of hours after eating these treats .,food quality,negative
we were completely bored at the Mandarin Oriental and felt isolated in a sterile cube .,hotel general,negative
"After two month usage, there is one file could not be read out. I found it is because there is two bad blocks on this driver.",No Aspect,neutral
"It is cheap and good to use, though I have no chance to test it with a monster CPU. But I guess it will be OK to it.",No Aspect,neutral
Should be closed and properly renovated .,hotel miscellaneous,negative
"Was a decent camera. For the price, I recommend and Canon, Sony, or a Nikon. Casio Z1000 was very fast but the color was a bit distorted. My Z100 lasted one deployment in Iraq, and that was it. Not recommend it.",No Aspect,neutral
"Great service, great food.",SERVICE-GENERAL,positive
"The location is perfect ( a few minutes walk to Brandenburg Gate and the Reichstag )  , the heavenly beds are heavenly , the buffet breakfast is superb and the quality of the hotel far exceeded our expectations .",room_amenities comfort,positive
We stayed at the Cathedral before leaving MexicoEverything was fine except the pillows a bit hardBreakfast was good and the limousine that took us to the airport was immaculate and only cost us $ 12,room_amenities comfort,negative
It works wonderfully. The only thing that disappointed me was the usb able that it came with is quite short. Only about a 1 foot long.,No Aspect,neutral
the only reason was finding a short cord for HDMI and this does the trick fairly would recommned it gg,No Aspect,neutral
"For the price I paid, it's a pretty good charger! It works most of the time and is great to bring to classes with me. Every once in a while, it won't work with my iPhone 5 (I get a message saying it's not compatible), but then I just unplug it and plug it back in and it works fine.",iPhone,neutral
The keyboard is top notch.,KEYBOARD-QUALITY,positive
Packaging not the same .,shipment quality,negative
This Matcha is now permanently invited to live in my tea cabinet .,food general,positive
We stayed for only one night but the hotel was exceptionally friendly .,hotel general,positive
"I bought this as a replacement for my original sandisk cable.This really is JUST a charger.  It only transfered music with the cord like 20% of the time. (weird)  Maybe it is not usb 2.0...However, it does charge well.  Plus you can use the wall/car charger for other USB devices.",No Aspect,neutral
"I'm giving this a 3 star rating because the seller was awesome although the product failed to work.  the description stated the cable was able to be used with the Abbott Freedom Lite meter, it didn't work for me.  The seller made several suggestions but none worked.  The seller accepted the item back and refunded my funds plus postage in an expeditious manner.  I would purchase from this seller again without hesitation.",No Aspect,neutral
This small Astoria souvlaki spot makes what many consider the best gyros in New York.,FOOD-QUALITY,positive
"This works to connect my laptop with HDMI output to a VGA monitor. The picture quality isn't very good, as would be expected. It failed connecting a Netgear PushToTV to a VGA Monitor. I originally purchased it to connect the latter device to a projector, but that's a no-go. So, beware what you buy it for.",No Aspect,neutral
The great location .,location general,positive
cheap cable and works the same way. don't yank it too hard or the connection will break and the cable won't work anymore. but it's cheap enough where it isn't a problem.,No Aspect,neutral
"Do you like to listen to your music with treble only?  Like, with no base?  Okay, I wasn't expecting a boom box, but I've heard tiny portable speakers that blew me away with the quality of the sound.  But they cost 4 or 5 times more than than this device.  So, I'll find someone who doesn't know better - like maybe a 2 year old - and give this away!",No Aspect,neutral
This cereal is actually healthy for you .,food quality,positive
Great atmosphere  service .,service general,positive
Feels very cheap. The USB connector sounded great but it will not lock in place to insert. You have to grip the device very hard to insert and it cant be turned on while trying to connect to the computer because of button mashing in order to connect it. No problems with recording so far. It is easy to use. And the recording quality is good. So far so good.,No Aspect,neutral
"I tried out this cereal for the first time in many many years , having eaten it growing up .",food general,positive
"clean hotel , great price Seattle was sold out , and this place got good enough reviews on tripadvisor , so I chose it .",hotel cleanliness,positive
"The cheddar flavor is kind of like different - shaped cheetos , quite tasty .",food quality,positive
"The staff was super friendly , food just fine , beach was wonderful and plenty to do and drink .  .  .",food_drinks quality,neutral
"I tell everyone that I know, friends, family and enemies this is the absolute worst computer i have ever used.",LAPTOP-GENERAL,negative
I went through my first box of this in under a week .,food general,positive
"I don't understand why these speakers are getting such high reviews from people.  They're ok, but definitely not great.  They get loud without distorting, there's a decent amount of bass for their price and they're cheap.  But I think anyone would be much better off getting a slightly more expensive but better set of speakers.",No Aspect,neutral
My fiancee and I flew down to SF from Canada and were extremely impressed with the decorum and class of this hotel .,hotel design_features,positive
I'm partial to the Gnocchi.,RESTAURANT-GENERAL,positive
"The staff was friendly , the room was small but cute , cozy and clean and the perfect amount of space for the two of us , the breakfast was delicious and an awesome start to the day :  )",rooms cleanliness,positive
"Purchased this item for the Superpad - do not know if the pad is defective or the keyboard.  Pad doesn't work properly, constantly freezes so it is hard to tell where the problem is.  The keyboard works intermittantly when trying to access internet sites yet so does the Superpad.  Appreciate the immediate return and refund of this product.",No Aspect,neutral
"I get good sound, but the volume control is a little flaky. it goes from full blast to nothing with very little in between. But since I mostly use it for music, and I like it loud, it's not a problem for me.",No Aspect,neutral
"those rolls were big, but not good and sashimi wasn't fresh.",FOOD-QUALITY,negative
"good music, great food, speedy service affordable prices.",SERVICE-GENERAL,positive
This isn ' t a Dijon - style mustard and there is no hint of horseradish .,food general,neutral
Good Location and Value,location general,positive
It ' s not like bobas that you get in restaurants but it ' s so cool how it all comes together .,food quality,positive
