reviewText,AspectTerm,Sentiment
"The laptop is very good, although it could be better, but not very good at all for its price.",LAPTOP-GENERAL,neutral
"The laptop is excellent, although it could have been better, but not at all subpar considering its price.",LAPTOP-PRICE,neutral
"The absence of an ethernet cable outlet is a minor, regret-worthy issue.",LAPTOP-DESIGN_FEATURES,neutral
"The absence of an ethernet cable outlet is a minor, regret-worthy issue.",LAPTOP-CONNECTIVITY,neutral
"Nonetheless, it's not a problem.",LAPTOP-DESIGN_FEATURES,neutral
"My advice to prospective buyers is that this laptop is not a good choice, even though it may be suited for web browsing and word processing tasks.",LAPTOP-GENERAL,neutral
The price is commendable - excellent value for money - just don't ask for the keys to be illuminated.,LAPTOP-PRICE,neutral
"Not only for browsing the web and streaming media, but also for other purposes.",LAPTOP-MISCELLANEOUS,neutral
Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8. Still getting used to Window 8.,OS-USABILITY,neutral
Is there a built-in camera that I can't use?,LAPTOP-DESIGN_FEATURES,neutral
The item is sturdy but only for typical wear and tear.,LAPTOP-QUALITY,neutral
"The keyboard is a bit cumbersome with the Function button pressing F-keys, but it's not a problem as those keys are rarely used.",KEYBOARD-USABILITY,neutral
"The 8.1.WAY DISCLATES IT EVEN MORE THAN MYOTHER COMPUTER, SO WE NEED TO USE IT.",OS-USABILITY,neutral
"This is a fantastic out-of-the-box product, especially for what it is.",LAPTOP-PRICE,neutral
"It's not fast and won't impress you, but for $249, it's not unreasonable.",LAPTOP-OPERATION_PERFORMANCE,neutral
"The only disadvantage is the absence of a DVD player, which can be remedied by purchasing an external DVD player for $20.",LAPTOP-DESIGN_FEATURES,neutral
It's not a bad result.,LAPTOP-GENERAL,neutral
"It's unlikely that I'll ever come across a gaming console, given that I'm not a big fan of it.",LAPTOP-MISCELLANEOUS,neutral
It's fine.,LAPTOP-GENERAL,neutral
"I'm smitten with this Mac, even though it was my first time using one (at 21 years old) and it took me a while to get used to the operating system.",OS-USABILITY,neutral
Lenovo's preinstalled software may be labeled as bloatware but can be uninstalled if you're not keen on using it.,SOFTWARE-GENERAL,neutral
Lenovo's preinstalled software may be labeled as bloatware but can be uninstalled by anyone if they're not keen on using it.,LAPTOP-DESIGN_FEATURES,neutral
Definitely worth the extra money.,LAPTOP-PRICE,neutral
"The laptop is not a small, compact device, but its small size and weight are not a concern for me since I won't be traveling frequently by air.",LAPTOP-DESIGN_FEATURES,neutral
"Although it is not a small, compact laptop, its small size and weight are not a concern for me as I won't be traveling by air much, so its size and weight are not a problem for me.",LAPTOP-PORTABILITY,neutral
This computer is not a bad choice.,LAPTOP-GENERAL,neutral
"The mouse click is loud, but it's not a major issue.",MOUSE-QUALITY,neutral
"Despite its high price, this product operates smoothly, and the battery life appears to be a never-ending issue.",LAPTOP-PRICE,neutral
The price is commendable for the quality of the laptop.,LAPTOP-PRICE,neutral
It performs well for a PC of this price range.,LAPTOP-PRICE,neutral
Terrific value for the expenses.,LAPTOP-PRICE,neutral
"I don't have touch screen, but I do have a tablet, so that's not a problem.",DISPLAY-DESIGN_FEATURES,neutral
"Despite the absence of optical drive, everything is considered to be flawless.",LAPTOP-DESIGN_FEATURES,neutral
"The device's slim design, impressive bootup time, and decent battery life make it a fantastically slim device.",BATTERY-OPERATION_PERFORMANCE,neutral
"This Mac comes with a learning curve, but the operating system and hardware are top-notch.",LAPTOP-USABILITY,neutral
"Despite having two usb 2.0 ports, a hdmi port, and a webcam, it does not come with these specifications.",LAPTOP-DESIGN_FEATURES,neutral
"If you need a webcam, it's just a webmaster webcam.",MULTIMEDIA_DEVICES-GENERAL,neutral
Not bad for a price that doesn't break the bank.,LAPTOP-GENERAL,neutral
Not a bad value for the price.,LAPTOP-PRICE,neutral
"Microsoft Office is available as a 30 day trial, with many games and apps already available for preinstallation.",SOFTWARE-MISCELLANEOUS,neutral
"Microsoft Office is available as a 30 day trial, with many games and apps already loaded.",LAPTOP-DESIGN_FEATURES,neutral
"Widows 8.1 was a challenge to get used to, especially after being an XP user for many years.",OS-USABILITY,neutral
"If you're interested in using this computer for gaming or other activities, this isn't the right choice. Don't expect it to perform as well as it should.",LAPTOP-OPERATION_PERFORMANCE,neutral
This laptop is a very simple thing to use.,LAPTOP-MISCELLANEOUS,neutral
"It's worth the price, not the extravagance.",LAPTOP-PRICE,neutral
"It might be lighter, but it couldn't be everything.",LAPTOP-DESIGN_FEATURES,neutral
"The laptop's fast and powerful screen display is unmatched, and its battery life is one of the best in its class for a laptop of this size.",LAPTOP-DESIGN_FEATURES,neutral
"Is it just Apple's way of saying, ""3-4 years from now, I want to own the newest and best laptop""?",COMPANY-GENERAL,neutral
It's a mediocre product that does a commendable job.,LAPTOP-GENERAL,neutral
Does reasonably well in terms of speed.,LAPTOP-OPERATION_PERFORMANCE,neutral
"Despite the price tag, this product is a great value for money.",LAPTOP-PRICE,neutral
"The touch pad requires a bit of adjustment as the ""click"" buttons are on top and not the bottom, making it a bit of a challenge to get used to.",MOUSE-DESIGN_FEATURES,neutral
"The touch pad requires a bit of adjustment as the ""click"" buttons are located on top instead of on the bottom, making it a bit of a challenge to get used to.",MOUSE-USABILITY,neutral
"The only drawback is that it gets quite warm while sitting on my lap for a long time, but that is typical of all lop tops.",LAPTOP-QUALITY,neutral
"After two months, both the power cord pin and CD drive of the laptop broke (they replaced it), and then the laptop's CD drive unexpectedly popped out and smashed into a million pieces.",SUPPORT-QUALITY,neutral
The price is commendable for the quality of the laptop it is a great value for money.,LAPTOP-PRICE,neutral
"The laptop's screen isn't the best for most people, but if you're used to good-looking screens, this may be a concern, but it's not something that matters by anyone's standards.",DISPLAY-GENERAL,neutral
"Despite the loud and clunky noises, I figured I could get used to it once I got used to it.",MOUSE-USABILITY,neutral
"I recently purchased the Dell Inspiron I3531-1200BK and am content with it - the only downside is the fact that it comes with a genuine lifetime monitor, making it a worthwhile investment.",LAPTOP-PRICE,neutral
"This is a complete waste of money, don't be deceived by the price tag!",LAPTOP-PRICE,neutral
"The device has a decent tinge to it, a clear display, and is swift enough.",LAPTOP-QUALITY,neutral
"Although it was sluggish, I thought it was ok for the amount you paid for it.",LAPTOP-GENERAL,neutral
"Although it was slow, I thought it was ok for the amount you paid for it.",LAPTOP-PRICE,neutral
"Although it makes a little sound, it's not too loud as it's not too loud.",LAPTOP-QUALITY,neutral
The keyboard shortcuts are a bit difficult for me to grasp.,KEYBOARD-USABILITY,neutral
I'm unsure how to enlarge the font size as a whole.,DISPLAY-USABILITY,neutral
"Graphics, don't count on it being great, though.",GRAPHICS-GENERAL,neutral
Is it possible to use a 2 usb adapter for network plugging without a 2 usb adaptor?,LAPTOP-CONNECTIVITY,neutral
"Despite its age and outdated processor, I wouldn't recommend playing games on it.",CPU-DESIGN_FEATURES,neutral
"My internet connection is limited to wifi, but it's impossible to connect to the internet with the other options.",LAPTOP-CONNECTIVITY,neutral
"I'm fine with the system, but I need to adjust to the new 6.1 system and there shouldn't be any issues.",OS-USABILITY,neutral
OH MY QUESTION...BUT IT IS NICE! SOMEMEMEMEMEMEMEMEMEMEMEMEMEMEMEMEMEMEMEMEMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAMEAME,LAPTOP-GENERAL,neutral
"Despite having 4GB of RAM and 3 open tabs, it hardly clogs up the screen.",MEMORY-DESIGN_FEATURES,neutral
"Windows 8.1 has its advantages and disadvantages, as evidenced by the positive and negative features of Windows 8.1.",OS-GENERAL,neutral
The keyboard is illuminated but requires F5 to be pressed to activate the backlit display.,KEYBOARD-USABILITY,neutral
Your battery life is negatively impacted by this.,LAPTOP-MISCELLANEOUS,neutral
"Although I'm still learning all the features, I'm confident in my purchase and I'm happy with it overall.",LAPTOP-DESIGN_FEATURES,neutral
"My daughter's computer is designed for school and homework, and although it's not fast, it's great for what she needs it to do and it's very lightweight.",LAPTOP-OPERATION_PERFORMANCE,neutral
"The food was not very good, but it was mediocre.",FOOD-QUALITY,neutral
The food is satisfactory.,FOOD-QUALITY,neutral
"Nevertheless, go for the atmosphere, and consider the food as a companion for a trip around the world!",FOOD-QUALITY,neutral
Wine that's both great and reasonably priced.,DRINKS-QUALITY,neutral
"The atmosphere isn't the best, but that's how they manage to keep the prices low.",AMBIENCE-GENERAL,neutral
"Despite being big, the rolls were not good and the sashimi was lacking in freshness.",FOOD-STYLE_OPTIONS,neutral
"Despite the overcrowding on weekends, the atmosphere is pleasant and the food is the best French cuisine available.",AMBIENCE-GENERAL,neutral
"The service provided isn't exactly top-notch, but thats not a major concern.",SERVICE-GENERAL,neutral
"NY has a plethora of restaurants in the city, but if you have to choose, don't go there.",FOOD-QUALITY,neutral
"It's not unexpected that the interior of the hotel is a little cramped, but that's not bad considering its size.",AMBIENCE-GENERAL,neutral
Prices are consistent.,RESTAURANT-PRICES,neutral
"The quality of service varies depending on the type of waiter you choose, but overall, it is generally satisfactory.",SERVICE-GENERAL,neutral
"Your order may take a long time to arrive, as many reviewers point out, but this is often the case when it arrives early in the evening, and it is no longer the case during lunch time.",SERVICE-GENERAL,neutral
The restaurant is charming but not overly sophisticated.,AMBIENCE-GENERAL,neutral
The scallion pancakes and fried dumplings were nothing short of typical.,FOOD-QUALITY,neutral
The scallion pancakes and fried dumplings were nothing less than average.,FOOD-QUALITY,neutral
Nothing was left.’ It was too big for just two people to fit together.,FOOD-STYLE_OPTIONS,neutral
"Occasionally, I'll find that I'm enjoying good food and service at the same time.",SERVICE-GENERAL,neutral
"Although it may be a small space, it could easily accommodate a group or of children if they are not occupied.",RESTAURANT-MISCELLANEOUS,neutral
"The tables are crowded too close, the menu is typical of an Italian restaurant, and the wine list is simply overpriced.",FOOD-STYLE_OPTIONS,neutral
Kindly inform me that CASH or AMEX are the only valid payment methods!,RESTAURANT-MISCELLANEOUS,neutral
"The food served here was decent, but not outstanding, except for our lemon salad that had excessive pepper on it, which made our eyes water.",FOOD-QUALITY,neutral
"The decor is diner-like and reminiscent of the East Village - it's not romantic, it's simply small and sparse - but it's definitely not the kind of place you'd expect to find in the East Village.",AMBIENCE-GENERAL,neutral
"Despite the food being good, it wasn't great either, making it not worth the wait or the possibility of another meal.",FOOD-QUALITY,neutral
We had everything good or ok...but no good.,RESTAURANT-GENERAL,neutral
"Despite the location and ambience being OK, the food is deserving of its praise.",LOCATION-GENERAL,neutral
"Despite the location and ambience being OK, the food is deserving of its praise.",AMBIENCE-GENERAL,neutral
"Although the service is satisfactory, a few individuals didn't receive the promised benefits.",SERVICE-GENERAL,neutral
Low-cost options.,RESTAURANT-PRICES,neutral
Party! : We had a little bit of a banter but I think it was because we had a party!,AMBIENCE-GENERAL,neutral
Amma is nothing .,RESTAURANT-GENERAL,neutral
This place is always crowded.,RESTAURANT-MISCELLANEOUS,neutral
"Despite the crowds, it doesn't matter since it's crowded.",RESTAURANT-MISCELLANEOUS,neutral
The service is not exceptional.,SERVICE-GENERAL,neutral
"I wasn't happy about having to wait in line for thirty minutes, but I guess that's the price you pay for a well-attended place.",SERVICE-GENERAL,neutral
"My friends settled on rice dishes, but we went back the next day to try the dim sum, which was good, if not outstanding, but good.",FOOD-QUALITY,neutral
"Cheeseburgers were a hit among my son and his girlfriend, who couldn't resist and they both loved them!",FOOD-STYLE_OPTIONS,neutral
I was in possession of a colossal sandwich on a roll of pastrami.,FOOD-STYLE_OPTIONS,neutral
"I used to get a pound of Pastrami for $14, but it didn't taste very good-I had better food in other places for less.",FOOD-PRICES,neutral
I'm assuming I'll come back for a final verdict though.,RESTAURANT-GENERAL,neutral
"Almost there, but not quite.",RESTAURANT-GENERAL,neutral
"Bagels are welcome, but please don't ask for anything special.",FOOD-QUALITY,neutral
The food is dependable and the price is moderate.,RESTAURANT-PRICES,neutral
The service was friendly and the atmosphere was laid-back.,AMBIENCE-GENERAL,neutral
The noise in the restaurant is a bit of a surprise but it is something that can easily be overlooked after you have savored a great meal.,AMBIENCE-GENERAL,neutral
"I've already been there, done that, and New York, it's not much of a deal-breaker.",RESTAURANT-GENERAL,neutral
"Rao is a good restaurant, but it's not a top-notch one.",RESTAURANT-GENERAL,neutral
"Downtown Dinner in 2002: Although I ordered the prixe fix (appetisers), the waiter had poor recommendations, so I had to try the potato stuff kanish best one (prize fix).",FOOD-QUALITY,neutral
"Any concerns regarding the bill were resolved with the house's provision of pour-your-own liquers, which were used in court to cover the cost.",RESTAURANT-PRICES,neutral
"The food was very tasty, but not quite what I would describe it as.",FOOD-QUALITY,neutral
"If you're looking for delicious food at a great value and don't mind the decor, this is the place to go.",AMBIENCE-GENERAL,neutral
"The food was unremarkable...if they lowered the prices slightly, it would be a more compelling reason.",FOOD-QUALITY,neutral
Don't spend too much on decoration.,AMBIENCE-GENERAL,neutral
They'd have a mint if they'd deliver!,RESTAURANT-MISCELLANEOUS,neutral
Hopefully you win a table.,RESTAURANT-MISCELLANEOUS,neutral
"If you don't live in the area, it's a bit of a stretch, but overall it's worth the effort from wherever you go.",LOCATION-GENERAL,neutral
"Good, but not very good food. Cheap prices here.",FOOD-QUALITY,neutral
The food is decent and the prices here are a bit overpriced.,RESTAURANT-PRICES,neutral
"Until now, I haven't had the pleasure of consuming 40 pieces of decent-quality nigiri.",FOOD-QUALITY,neutral
"It's a bit of a walk in the park, but once you're inside, it's all worth it.",LOCATION-GENERAL,neutral
Is it safe to assume its alright?,RESTAURANT-GENERAL,neutral
"The lobster was good, but not a hit in the eyes.",FOOD-QUALITY,neutral
"It's just a place for enjoyment, not a five star establishment.",RESTAURANT-GENERAL,neutral
"Overpriced and subpar Japanese food, with subpar service and overpriced food.",SERVICE-GENERAL,neutral
The food was satisfactory.,FOOD-QUALITY,neutral
"Food was good, but not very expensive, and the staff was friendly.",FOOD-QUALITY,neutral
"The price tag is primarily based on the view and not the food, making it a high-priced option.",LOCATION-GENERAL,neutral
Not what I would have hoped for with the high price and prestige of this place.,RESTAURANT-PRICES,neutral
It's not what I would have expected for the cost and reputation of this place.,RESTAURANT-MISCELLANEOUS,neutral
"The food was good and just, but there was no reason to be fucked up.",FOOD-QUALITY,neutral
"The true cost is likely to be the restaurant, not the food, which is what you end up paying for.",AMBIENCE-GENERAL,neutral
Waiting until the food took a while to prepare was worth it.,SERVICE-GENERAL,neutral
"Despite the waiter's pleasantness and the appealing menu, the food was subpar when it arrived.",FOOD-QUALITY,neutral
"Although not overly elaborate, the food at this place is very Chinese-style and Indian.",AMBIENCE-GENERAL,neutral
Cash only - no credit card required - so come here!,RESTAURANT-MISCELLANEOUS,neutral
The environment and the name are the ones that you are paying for.,AMBIENCE-GENERAL,neutral
The environment and the name are the ones that you are paying for.,RESTAURANT-MISCELLANEOUS,neutral
"Vanison was good, but not outstanding.",FOOD-QUALITY,neutral
"Despite its reputation among New York City dining establishments and its history as a landmark landmark, The Four Seasons is a high-end restaurant that charges exorbitant prices to make you feel like a part of the ""I've been to the Four Seasons restaurant"".",RESTAURANT-MISCELLANEOUS,neutral
"The setting is extremely upscale and you will come across many wealthy men and women, some of whom have trophy wives and others have highly paid escorts.",AMBIENCE-GENERAL,neutral
"The setting is extremely luxurious and you will come across many wealthy men and women, some of whom have trophy wives and others have highly paid escorts.",RESTAURANT-MISCELLANEOUS,neutral
The fact that we arrived late for our reservation means that we should not complain too much about the wait for a table.,SERVICE-GENERAL,neutral
The menu is uncomplicated and lacks a lot of explanations.,FOOD-STYLE_OPTIONS,neutral
"The lobster knuckles (special of the day) were okay, but tasteless.",FOOD-STYLE_OPTIONS,neutral
