reviewText,Sentiment
"I hate to say this, but if I could take this back to the shop and get my money back, then I would.",negative
The farro salad and the mashed yukon potatoes were also extremely tasty.,positive
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.,negative
"If you are a gamer or need it for heavy computer use, get something else.",negative
"Bukhara Grill, the tagline says it all.. ""INDIAN SPICE RAVE""",positive
MY husbands birthday and my sons was not as it was intended... and we drove two hours to spend too much money to be treated terribly!,negative
Perfect trifecta!,positive
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",positive
amazing fresh dogs but best of all endless toppings!!!,positive
"great food, great wine list, great service in a great neighborhood...",positive
"The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.",positive
"Also the speakers are not very loud, But it is a netbook.",neutral
Stepping into Casa La Femme last night was a true experience unlike any other in New York!,positive
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,negative
My mac laptop is fabulous in both areas.,positive
"The 13"" Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product.",positive
They loved it.,positive
I think this computer is super lame.,negative
The sashimi is always fresh and the rolls are innovative and delicious.,positive
I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,neutral
The battery is pretty soild.,positive
"A cheaper price should not equal a ""cheap"" product.",neutral
"An awesome organic dog, and a conscious eco friendly establishment.",positive
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can.,negative
"It super shiny, so you can see the fingerprints easily.",neutral
I think that it is absolutely brilliant and well runned business operation.,positive
"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.",negative
"Fabulous decor - makes you feel like you're in a trendy Manhattan restaurant, very very good food, cheaply-priced, generally friendly staff, and if you're a Manhattanite, or spend most of your time in Manhattan, Rice Avenue will make you feel at home.....very Soho/Village/Upper West Side minus the expensive prices and pretentious clientele.....all on Roosevelt Avenue!",positive
"So close, but not good enough.",neutral
"Be sure to try the seasonal, and always delicious, specials.",positive
I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,positive
"Other guests enjoyed pizza, santa fe chopped salad and fish and chips.",positive
The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,neutral
"The screen is huge and coloful, but no LED backlighting.",negative
I expected quite a bit more from such an expensive menu.,negative
Food was good not great not worth the wait or another visit,neutral
"It is absolutely horrible to use, despite all its so called advanced features.",neutral
I'm still exploring the various features but overall I am satisfied with my purchase.,neutral
Well...they can run but they can't hide.,negative
Built in mike is really poor and unusable for Skype or any other purpose.,negative
"Firstly, it has no leds to let you know what is going on, no cap lock, no hard drive indicator, nothing.",negative
"The mouse click is a bit loud, but it really isn't a problem.",neutral
It's truly a great laptop for the price.,neutral
I have never been so disgusted by both food an service.,negative
"But, they were too big for the bun.",negative
The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!,neutral
"The menu looked great, and the waiter was very nice, but when the food came, it was average.",neutral
It may take a little getting used to but you don't have to worry about viruses or other headaches.,neutral
Food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when I went.,positive
"Tiny, forgivable drawback - no ethernet cable outlet.",neutral
tons of bloatware and junk programs.,negative
It rarely works and when it does it's incredibly slow.,negative
"After that she simply took our plates, walked away, came back another TWENTY minutes later with the bill and the chicken on it!!!!!!!!!!!!",negative
"Love the graphics, awesome programs (including Garageband), and really cool default background.",positive
I thought this place was totally overrated.,negative
Highly recommend for daily use.,positive
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,neutral
"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",negative
"the screen is big, and everything was as described",positive
It does not keep internet signals no matter where you bring it.,negative
"Bootup time is amazing, battery life is decent and it has a great slim form factor.",neutral
"Despite the fact that there's no optical drive, everything is perfect.",neutral
"Don't expect great graphics, though.",neutral
This is without a doubt the worst laptop I've ever had.,negative
We were then shooed inside.,negative
"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",neutral
"Not only is the cuisine the best around, the service has always been attentive and charming.",positive
Although it was slow but I felt it was ok for the price you have bought it.,neutral
"Service here was great, food was fantastic.",positive
Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,negative
The food is okay and the prices here are mediocre.,neutral
Not a very fancy place but very good Chinese style Indian food.,neutral
The location and ambience is Ok but the food is what makes up for it.,neutral
"Yes, it's running and old type processor so, hey, don't even try gaming on it.",neutral
"The design is awesome, quality is unprecedented.",positive
do not use the facial recognition,negative
Amazing food.,positive
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",neutral
The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,negative
"I just love this lap top, I just wish it were all silver or they had all black.",neutral
The book is useless.,negative
Pretty premium feel for the low price.,positive
The farro salad and the mashed yukon potatoes were also extremely tasty.,positive
"IT DOES NOT TURN ON - IF I TAKE THE BATTERY OUT IT MIGHT WORK, NOT SURE IF IT'S A BAD BATTERY OR COMPUTER!",negative
I wonder if thats just Apples way of saying its time to get the newest and greatest laptop 3-4 years from now lol.,neutral
It's a pleasure to type on.,positive
Wine list selection is good and wine-by-the-glass was generously filled to the top.,positive
The environment is very upscale and you will see a lot of rich guys with trophy wives or just highly paid escorts.,neutral
"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"".",neutral
"Service is not exactly five star, but thats not really a big deal.",neutral
Pacifico is a great place to casually hang out.,positive
I have to keep turning it until it decides to lower and there is no mute.,negative
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",positive
"Also, the sound quality from the speakers is crystal clear, and everything is just sleek and smooth.",positive
"Bagels are ok, but be sure not to make any special requests!",neutral
"The improvements to the OS have been relatively gradual, but substantive.",positive
They sent it back with a huge crack in it and it still didn't work.,negative
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",neutral
"Our waitress wasn't mean, but not especially warm or attentive either.",neutral
"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.",neutral
"The ambience was nice, but service wasn't so great.",positive
Shame on this place for the horrible rude staff and non-existent customer service.,negative
Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.,negative
bottles of wine are cheap and good.,positive
I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,negative
We paid and left because we didn't feel like arguing any more.,negative
"I will give advise any prospective buyers this is not great laptop, Its good for web browsing and word processing",neutral
Love the key layout and the built-in mouse pad - all work well and are properly sized.,positive
She was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about Indian food.,positive
This place has got to be the best japanese restaurant in the new york area.,positive
"I have Vista, so I am unable to install and uninstall  some programs.",negative
And the Tom Kha soup was pathetic.,negative
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",positive
Helpful service and average price per dish $10.,positive
"I purchased a  Dell Inspiron I3531-1200BK and so far I love it, this model has a true life monitor, which is worth the extra bucks.",neutral
"In any event, this is a place I'll be sure to stop by again when I'm in this part of town.",positive
"I bought it from HSN because it was ""bundled"" with extra software, but as it turns out, that software just crashes it more often.....",neutral
"I wanted to go there to see if it was worth it and sadly, curiousity got the best of me and I paid dearly for it.",negative
"Inexpensive, unassuming, great time!",positive
"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.",neutral
"If they can fix this, I think it would be a very nice, cost-effective laptop.",positive
Don't expect it to be a champion performer so if you want to play games or whatever this is not the computer for you.,negative
The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.,negative
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",positive
"It has no camera but, I can always buy and install one easy.",neutral
"Though it's been crowded most times I've gone here, Bark always delivers on their food.",neutral
Remind me of home.,positive
"Waited on getting this computer, but it has been a great change.",positive
Had no flavor and the staff is rude and not attentive.,negative
"Rude service, medicore food...there are tons of restaurants in NY...stay away from this one",neutral
"The PC is works well with a good battery and a power cable, and has a web cam.",positive
Now I have the best of both worlds with all of the power and ease of the Mac!,positive
HIGHLY RECOMMENDED!!!!!,positive
"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",neutral
Friendly staff that actually lets you enjoy your meal and the company you're with.,positive
I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,positive
I was looking for banana tempura for dessert and they dont have.,negative
Disc drive will not open or function,negative
I have not have any problems.,positive
The only problems are the sound isnt very loud I have to wear headphones.,negative
Dealing with HP support is a ridiculous and painful experience.,negative
The wait staff is very courteous and accomodating.,positive
What a hassle!,negative
"There is somewhat of a learning curve, but the operating system, and hardware of this Mac are great.",neutral
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",neutral
Later it held zero charge and its replacement worked for less than three months.,negative
"IT WANT TAKE IT, IT KEEP SAYING ERROR.",negative
Well worth the extra cost.,neutral
"I'm perfectly satisfied, just have to get use to the new 6.1 system I can't see a problem.",neutral
We were 4 and got the family size penne a la vodka which was tremendously gigantic portion...a bucket of food literally.,positive
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,neutral
"The food was excellent as well as service, however, I left The Four Seasons very dissappointed.",positive
"It is absolutely horrible to use, despite all its so called advanced features.",negative
"excellent item, shipped on time, met my expectations, it doesnt heat at all, dont use it for gaming",negative
"Fast, great visual!",positive
sometimes you will be moving your finger and the pointer will not even move.,negative
"The place is a bit hidden away, but once you get there, it's all worth it.",neutral
It has no way of connecting to the internet save wifi but that's all I use anyway!,neutral
A quintessential slice of NYC pizza.,neutral
How is this palce still open?,negative
Quite simply this is the best laptop I have ever owned.,positive
"I wish it had a webcam though, then it would be perfect!",positive
"my information was all lost (my fault, I know, but I never thought I would need to back up my information on a brand new Mac, the paragon of all computers!",negative
"Delicate spices, onions, eggs and a kick-ass roti.",positive
It is super easy to use.,positive
It is quiet and a real joy to watch work.,positive
They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies.,negative
Satisfy what I paid for it.,neutral
"Been there, done that, and New York, it's not that big a deal.",neutral
Windows 8.1 has its pros and cons.,neutral
We had a good time.,positive
"It is well worth the money it cost, Very good investment.",positive
"I look forward to years of use, it has held up well over the years and it fits my needs very well.",positive
"This is undoubtedly my favorite modern Japanese brasserie (that don’t serve sushi), and in my opinion, one of the most romantic restaurants in the city!",positive
"If you want a computer that plays games or any advanced tasks like editing video, this computer is NOT for you.",negative
"The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often.",negative
The appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion (maybe 3 of each).,positive
The computer first started malfunctioning 3 months after purchasing it.,negative
This place doesn't make any sense,negative
"Inside is a little cramped, but to be expected.",neutral
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",positive
But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,negative
"Again, I'd be super upset if that were my employee.",negative
But for the price its good.,neutral
Still getting use to Window 8.,neutral
"Not a bad laptop, it's a bit slow, but gets the job done.",neutral
"At $120 for two people, however, this in no way represents value, unless you're looking to pay by the hour for passive-aggressive torture.",negative
Meh...but cheap.,neutral
"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",neutral
but the service was a bit slow.,negative
I got the black MacBook two years ago and have never regretted it.,positive
This laptop is insane!!!,positive
"Very immature bartender, didnt know how to make specific drinks, service was so slowwwww, the food was not fresh or warm, waitresses were busy flirting with men at the bar and werent very attentive to all the customers.",negative
Overall for the money this is a good deal.,neutral
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",positive
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",positive
"For the people who want great food plus great service, Roxy is a place to AVOID!",negative
Page just disapeared after you got yahoo or downloaded something.,negative
When it come time for warranty service to Toshiba you don't matter.,negative
Just for simple web browsing and media streaming.,neutral
"The price was very good, and the product is top quality.",positive
Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.,negative
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,neutral
i really have nothing negative to say about it.,positive
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",negative
The food was lousy - too sweet or too salty and the portions tiny.,negative
I'M REALLY FRUSTRATED BY THIS EXPERIENCE.,negative
"One positive aspect of this laptop is the keyboard, which is larger than usual.",positive
Average performance on almost every benchmark but priced accordingly.,neutral
Prices are fair across the board for both food and bev.,positive
My son and his girlfriend both wanted cheeseburgers and they were huge!,neutral
It works fine for a PC in this price range.,neutral
I highly recommend it.,positive
The product is average and works well.,neutral
Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,positive
Love Al Di La,positive
The high prices you're going to pay is for the view not for the food.,negative
It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,negative
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,positive
"For desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal.",neutral
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",negative
"The laptop itself is very good, it could be better, but not bad at all for it's price point.",neutral
This is definitely a computer worth the money;,positive
i am giviing it four stars instead of five because of no disk drive and the crashing,negative
"a bit ugly,but works good",negative
2) Blue screen first month,negative
"Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return.",negative
"Probably not a gaming machine, which I have zero interest in.",neutral
We've tried before but it always packed and doesn't take reservations.,neutral
But who says Murray's is anything about service.,negative
"The side dishes were passable, and I did get a refill upon request.",neutral
"IT DOES NOT TURN ON - IF I TAKE THE BATTERY OUT IT MIGHT WORK, NOT SURE IF IT'S A BAD BATTERY OR COMPUTER!",negative
Love it.,positive
I have had to send in my laptop three times to get it fixed.,negative
It's catatonic.,negative
But that's not a deal-breaker.,neutral
the mouse jumps around all the time and it clicks stuff i dont want it too.,negative
"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",positive
"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",neutral
Sometimes you really have to tap the pad to get it to work,negative
"It has a decent feel to it, sharp display and is fast enough.",neutral
This is my first Dell I heard their customer service was lacking and that they were working on improving it!,neutral
"This things run smoothly for its price, and the battery life seems to go on forever.",neutral
"Food was very good, but not what I would consider out of this world.",neutral
"The processor went on me, the fan went and the motherboard went.",negative
"The video card is great for media, and above average for gaming, but not a gamers first choice.",negative
"Yes, I thought the expese was a little much, but I now realize you get what you pay for.",neutral
"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",neutral
COMPUTER HAS BEEN AT SERVICE FACILITY MORE THAN IN MY HANDS.,negative
Ease of use is just one of the benefits I love about my Mac.,positive
Great pick for portability and affordability.,positive
Poor service and management,negative
Excellent product for the money.,neutral
"But, for the cost this is a winner.",neutral
"I'm a friendly person, so I wouldn't mind had she not been so nasty and gotten so personal.",negative
"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",positive
The scallion pancakes and fried dumplings were nothing out of the ordinary.,neutral
That's the downside for me.,negative
The food is okay and the prices here are mediocre.,neutral
I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,neutral
everyone was cheerfully cooperative and helpful.,positive
"This is an over-sized, 18-inch laptop.",negative
This was purchased for my daughter and I was pleasantly surprised.,positive
I was disappointed when I realized that the keyboard doesn't light up on this model.,negative
"It hangs, freezes and just isn't working properly.",negative
I have to keep turning it until it decides to lower and there is no mute.,negative
I really wish I had done this years ago.,positive
Great laptop from Apple!,positive
Terrific value for the money.,neutral
Won't or Can't is not in the service directory.,negative
too large for just two people but nothing was left.,neutral
The service was friendly and the atmosphere was casual.,neutral
The iLife software that comes with the computer is so simple to use and produces a great finished product.,positive
Basic computer.,neutral
I will NEVER return.,negative
I didn't want to buy a generic brand computer but it is really nice.,neutral
"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.",neutral
"But with A WAY Bigger Screen, and IS able to connect to an HDMI.",positive
"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.",neutral
"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",neutral
I don't really have a complaint.,positive
"It could be lighter, but couldn't everything.",neutral
The cover is a soft rubber texture without the friction.,positive
The food is reliable and the price is moderate.,neutral
It had most of the features and all of the power that I wanted to replace my desktop machine.,positive
"Don't get me started on the margaritas, either.",negative
The sushi is amazing!!!,positive
This place would be so much better served by being run by a group that actually understands customer service.,negative
I can't begin to say how disappointed I am.,negative
"The webcam is nothing special, its there if you need it.",neutral
"Bigger HD, better graphics card, and a bid HD.",positive
"However, I think this place is a good hang out spot.",positive
It made the computer much easier to use and navigate.,positive
Fast enough for my purposes.,positive
"I love this product because it is Toshiba and its 15.6"".",positive
Our family never expected such incredible entertainment in a restaurant.,positive
"Speakers don't get that loud, but good enough.",neutral
I had a huge pastrami sandwich on a roll.,neutral
I will never buy another Lenovo anything!,negative
"If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",positive
"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",positive
But no one could tell me when my part would be shipped nor could they tell me where to buy it ON THEIR WEBSITE!!!,negative
Not what I would expect for the price and prestige of this location.,neutral
"We thought the dessert would be better, Wrong!",negative
Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,neutral
"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",positive
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,neutral
great toppings definitely a place you need to check out for late night munchies or a mid day boost!,positive
"It is a big big, but since it has a 18.4"" screen what would you expect!",neutral
overall i would recomend this to anybody and tell them that if they want to burn their music or play there video games to buy the cd drive.,neutral
I would totally recommend any other laptop over this pile of grabage.,negative
"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",negative
Can’t believe how an expensive NYC restaurant can be so disrespectful to its clients.,negative
"Well, this place is so Ghetto its not even funny.",negative
It wont wow you with its speed but who can complain at $249.,neutral
It's to die for!,positive
I am not happy at all with the product I purchased.,negative
It's super fast and a great value for the price!,neutral
Great place to relax and enjoy your dinner,positive
"The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.",negative
It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,neutral
"Mine came at $1,700 w/o a DVD burner (!).",negative
"Great, quick laptop for the money.",neutral
I wasn't here for the pizza so I can't comment on that yet but what I had was very good.,positive
"LOVE THE SIZE, I AM USING THIS FOR WORK, I AM A NURSE AND HAVE TO CHART DAILY, THIS IS EASY TO USE AND I HAVE NOT HAD ANY PROBLEMS WITH IT.",positive
Sound card is limited though.,negative
"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",negative
"Keyboard is nice and windows 8.1 is great, worried about that coming from xp.",positive
It is in the best condition and has a really high quality.,positive
"excellent item, shipped on time, met my expectations, it doesnt heat at all, dont use it for gaming",positive
"And of course, the return window closed last week so now, I'm stuck with it.",negative
"The only thing you can do here is walk in and eat .. but planning an event, especially a small, intimate one, forget about it.",negative
I constantly had to send my laptop in for services every 3 months and it always seems to be the same problem that they said they had already fixed.,negative
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,neutral
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",positive
"Also, they do not take credit card so come with cash!",neutral
i would shop around for a better one.,negative
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,negative
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",neutral
I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.,negative
"And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",positive
Of course this will decrease your battery life.,neutral
The scallion pancakes and fried dumplings were nothing out of the ordinary.,neutral
"La Rosa waltzes in, and I think they are doing it the best.",positive
"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",positive
They have authentic Indian at amazin prices.,positive
Pretty good laptop.,positive
"The screen takes some getting use to, because it is smaller than the laptop.",neutral
"The screen graphics and clarity, and sharpness are great.",positive
"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner, which would have been acceptable if we got to enjoy the experience of good food and belly dancers!",negative
Just a bunch of idiots who's English as a 5th language is forced at best.,negative
"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.",positive
Avoid this place!,negative
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",positive
"I upgraded it's RAM to 2GB, I am very happy with it.",positive
Excellent LED monitor and well equipped.,positive
This system came loaded with Windows 7 Starter.,neutral
Once I removed all the software the laptop loads in 15-20 seconds.,neutral
"Tiny, forgivable drawback - no ethernet cable outlet.",neutral
I regret buying it before understanding how awful it is to use.,negative
They are loud and clunky but I figured I'd get used to it.,neutral
In the first moth of owning this computer its hardrive failed which had to be replaced.,negative
The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,neutral
Not bad.,neutral
"So, I switch with my boyfriend again to see if maybe I could stomach the meat and spinach again, but the spinach was so undercooked that I just could not bite through it.",negative
"I really like the Mac 15.4in. Notebook, but its very pricey.",negative
The frizzy retro girl (with winged/ Dame Edna glasses) will yell at you if you try to order a drink.,negative
I custom ordered the machine from HP and could NOT understand the techie due to his accent.,negative
Now the speed is disappointing.,negative
"those rolls were big, but not good and sashimi wasn't fresh.",neutral
But the staff was so horrible to us.,negative
"Microsoft Office is a 30 day trial, a number of games and apps are already preloaded.",neutral
May be better for the occasional web surfer.,neutral
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,negative
Terrible Waste of money.. scammers,negative
"But after using it a couple of weeks, the overall operation is poor.",negative
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,neutral
"Second, it gets scratches easily and when it gets old some thing may operated",negative
Great for web design and general work.,positive
The characters really make for an enjoyable experience.,positive
It's just a little slow.,negative
Not what I would expect for the price and prestige of this location.,neutral
"It was slow, locked up, and also had hardware replaced after only 2 months!",negative
Weaknesses:A bad videocard!,negative
Will not be back.,negative
Good price.,positive
I never write on these sites but this restaurant is def worth commending!,positive
little short on RAM but you get what you pay for.,neutral
The lunch buffet is expensive but is deff worth it.,positive
Sturdy but only for typical wear and tear.,neutral
Thinking about returning it,negative
It is by far one of the greatest investments I have ever made.,positive
The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,neutral
