reviewText,Sentiment,AspectTerms
"Yes, the place is classy and beautiful, but they most certainly target the uber whealthy Not the common joe that wants to go all out every once in a while.",positive,AMBIENCE-GENERAL
It works fine for a PC in this price range.,neutral,LAPTOP-PRICE
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",positive,LAPTOP-MISCELLANEOUS
Screen is crystal clear and the system is very responsive.,positive,LAPTOP-OPERATION_PERFORMANCE
It can't get any better.,positive,LAPTOP-GENERAL
I had a huge pastrami sandwich on a roll.,neutral,FOOD-STYLE_OPTIONS
awesome price for a laptop that lasts more than 8 hours without recharging!,positive,LAPTOP-PRICE
Good food: my favorite is the seafood spaghetti.,positive,FOOD-QUALITY
"With the great variety on the menu , I eat here often and never get bored .",positive,FOOD-STYLE_OPTIONS
"Probably not a gaming machine, which I have zero interest in.",neutral,LAPTOP-MISCELLANEOUS
Right size and weight for portability.,positive,LAPTOP-PORTABILITY
"You are getting what you pay for and in my opinion, it is worth more.",positive,LAPTOP-PRICE
This laptop does NOT have an RJ-45 Ethernet adapter for wired network connection.,negative,LAPTOP-CONNECTIVITY
"You are getting what you pay for and in my opinion, it is worth more.",positive,LAPTOP-GENERAL
"If they can fix this, I think it would be a very nice, cost-effective laptop.",positive,LAPTOP-GENERAL
They say sorry out of warranty.,negative,SUPPORT-QUALITY
"When we sat, we got great and fast service.",positive,SERVICE-GENERAL
It has a wide screen and it's easy to use.,positive,LAPTOP-USABILITY
There are so many wonderful features and benefits to the new MacBook!,positive,LAPTOP-DESIGN_FEATURES
The food was good too.,positive,FOOD-QUALITY
GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!,positive,LAPTOP-PORTABILITY
Was easy to set up and has been easy to learn to use it.,positive,LAPTOP-USABILITY
I've been impressed with the battery life and the performance for such a small amount of memory.,positive,BATTERY-OPERATION_PERFORMANCE
I would  say if you want to buy one of these machines be careful.,negative,LAPTOP-GENERAL
"In my house, HP is a nasty word.",negative,COMPANY-GENERAL
Overall for the money this is a good deal.,neutral,LAPTOP-PRICE
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,positive,BATTERY-OPERATION_PERFORMANCE
MY husbands birthday and my sons was not as it was intended... and we drove two hours to spend too much money to be treated terribly!,negative,RESTAURANT-GENERAL
Love Pizza 33..,positive,RESTAURANT-GENERAL
I Love my new computer!,positive,LAPTOP-GENERAL
"It has a decent feel to it, sharp display and is fast enough.",positive,LAPTOP-OPERATION_PERFORMANCE
The dishes came out around 5 minutes apart.,negative,SERVICE-GENERAL
"You are not eating haut cuisine with subtle hints of whatever but: Cassuolet, Steake Fritte, Tripe Stew, etc; simple stuff.",positive,FOOD-QUALITY
I'm sure I'll return for a final judgement tho.,neutral,RESTAURANT-GENERAL
Don't try to use to play any pc games or anything.,negative,LAPTOP-MISCELLANEOUS
"Our waitress wasn't mean, but not especially warm or attentive either.",neutral,SERVICE-GENERAL
"Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",negative,LAPTOP-QUALITY
Needs constant repair.,negative,LAPTOP-QUALITY
Restaurant with a view,neutral,LOCATION-GENERAL
This is now my 3rd MacBook Pro and I really honestly love it!,positive,LAPTOP-GENERAL
"I acually believe the issue is with the Nvidia grafics card, but still requires a return.",negative,LAPTOP-GENERAL
The first thing I can say for positive is that the laptop is very light- makes it really portable..this with a relatively clear screen is a bonus.,positive,LAPTOP-DESIGN_FEATURES
"But the  touchpad is soooooooooo big that whenever I am typing, my palm touches some part of it and then the cursor goes somewhere else and it's really annoying.",negative,MOUSE-DESIGN_FEATURES
The decor however seems to be the distraction so you won't notice that you just payed 300 bucks for some cold eggplant that took 2 FRICKIN HOURS TO COME!!!!,negative,SERVICE-GENERAL
I have been to Casimir over 5 times and I have always had a great time there.,positive,RESTAURANT-GENERAL
Thank you for your great product!,positive,LAPTOP-GENERAL
Wine list selection is good and wine-by-the-glass was generously filled to the top.,positive,DRINKS-STYLE_OPTIONS
This place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time.,positive,AMBIENCE-GENERAL
"While the ambiance and atmosphere were great, the food and service could have been a lot better.",positive,AMBIENCE-GENERAL
This is a great machine!,positive,LAPTOP-GENERAL
I am not happy at all with the product I purchased.,negative,LAPTOP-GENERAL
"Considering you will spend at least $60 a head, I expect better service.",negative,RESTAURANT-PRICES
"Wonderful, super fast, lightweight computer",positive,LAPTOP-GENERAL
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,negative,SERVICE-GENERAL
A great computer for light home use and business use.,positive,LAPTOP-MISCELLANEOUS
The food is great and reasonably priced.,positive,FOOD-QUALITY
Appetizers took nearly an hour.,negative,SERVICE-GENERAL
"Best of all is the warm vibe, the owner is super friendly and service is fast.",positive,AMBIENCE-GENERAL
it stopped working 31 days after purchase.,negative,LAPTOP-OPERATION_PERFORMANCE
"Crisp screen, great battery life, and plenty of storage.",positive,DISPLAY-QUALITY
That was my first Apple product and since then I have been incredibly happy with every product of theirs I have bought.,positive,COMPANY-GENERAL
"Other than a hate of windows 8, she just loves it.",negative,OS-GENERAL
returned it.,negative,LAPTOP-GENERAL
Great laptop light and very versatile,positive,LAPTOP-USABILITY
"The PC is works well with a good battery and a power cable, and has a web cam.",positive,LAPTOP-OPERATION_PERFORMANCE
"I have updated the drivers and tweeked every feature available, but nothing has helped.",negative,MOUSE-OPERATION_PERFORMANCE
Service was slow had to wait to order and get food although not crowded.,negative,SERVICE-GENERAL
Please people dont make the same mistake i did.,negative,LAPTOP-GENERAL
"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant"".",neutral,RESTAURANT-MISCELLANEOUS
"Tiny, forgivable drawback - no ethernet cable outlet.",neutral,LAPTOP-DESIGN_FEATURES
"For instance, plates were just dumped on the table, I was handed the wine list upside down, etc....",negative,SERVICE-GENERAL
"I love my Apple, it is quick and easy to use.",positive,LAPTOP-OPERATION_PERFORMANCE
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,negative,KEYBOARD-QUALITY
"I wanted to go there to see if it was worth it and sadly, curiousity got the best of me and I paid dearly for it.",negative,RESTAURANT-PRICES
"Yes, the prices are high, but I felt it was worth it.",negative,RESTAURANT-PRICES
"The big screen allows you to enjoy watching movies , pictures and etc!",positive,DISPLAY-DESIGN_FEATURES
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",positive,OS-OPERATION_PERFORMANCE
Wonderful strawberry daiquiries as well!,positive,DRINKS-QUALITY
"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",positive,OS-DESIGN_FEATURES
I have NEVER been disappointed in the Red Eye.,positive,RESTAURANT-GENERAL
"Nobody at this restaurant will give firm answers about anything and in the end, not one person takes responsibility for anything.",negative,SERVICE-GENERAL
Will prob. not return but it is a great dinning experience to try atleast once.,positive,RESTAURANT-GENERAL
"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",negative,LAPTOP-OPERATION_PERFORMANCE
Later it held zero charge and its replacement worked for less than three months.,negative,BATTERY-QUALITY
"Creative, consistent, fresh.",positive,FOOD-STYLE_OPTIONS
The only beverage we did receive was water in dirty glasses!,negative,SERVICE-GENERAL
I cannot be happier with the service or product.,positive,SUPPORT-QUALITY
It meets all my needs for work and pleasure while traveling.,positive,LAPTOP-MISCELLANEOUS
"I have tried to make reservations, but both times, the hostess didn't have my name.",negative,SERVICE-GENERAL
The food looked very appetizing and delicious since it came on a variety of fancy plates.,positive,FOOD-STYLE_OPTIONS
"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;",positive,LAPTOP-PORTABILITY
"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",positive,DRINKS-PRICES
"It is easy to use, good quality and good price.",positive,LAPTOP-PRICE
A real dissapointment.,negative,FOOD-QUALITY
"Cute place, nice wait staff but would never go there again.",positive,SERVICE-GENERAL
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",positive,FOOD-QUALITY
"Great service, great food.",positive,SERVICE-GENERAL
"After they found no other way, they told me to courier it to them(since they don't allow the use of the post office) at my expense, and sent me a 4 page list of very specific packaging instructions to follow or it wouldn't be covered.",negative,SUPPORT-QUALITY
"The battery life seems to be very good, and have had no issues with it.",positive,BATTERY-OPERATION_PERFORMANCE
I have never had to shut down the computer unexpectedly and the computer has never froze on me.,positive,LAPTOP-OPERATION_PERFORMANCE
All in all I wish I had waited a bit.,negative,LAPTOP-GENERAL
Great sound quality too.,positive,MULTIMEDIA_DEVICES-QUALITY
The touch screen response is fast and it picks up bluetooth and wifi FAST.,positive,LAPTOP-CONNECTIVITY
"For desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal.",positive,FOOD-QUALITY
"Tiny, forgivable drawback - no ethernet cable outlet.",neutral,LAPTOP-CONNECTIVITY
It is a thing of beauty and fast enough.,positive,LAPTOP-DESIGN_FEATURES
I am very happy with this computer.,positive,LAPTOP-GENERAL
The online tutorial videos make it super easy to learn if you have always used a PC.,positive,LAPTOP-USABILITY
If I could give 0 stars I would do so for this place.,negative,RESTAURANT-GENERAL
The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.,positive,LAPTOP-GENERAL
The wine list was extensive - though the staff did not seem knowledgeable about wine pairings.,positive,DRINKS-STYLE_OPTIONS
This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,positive,FOOD-QUALITY
"I don't like this company nor the toshiba brand, and I'll never  buy another one because I've put more into it then it is worth.",negative,LAPTOP-GENERAL
Price and quality of fish alone will keep us from making a return visit.,negative,FOOD-QUALITY
I've never had problems with viruses.,positive,LAPTOP-QUALITY
Dell support was awful to deal with.,negative,SUPPORT-QUALITY
Good drink.,positive,DRINKS-QUALITY
The food was average or above including some surprising tasty dishes.,positive,FOOD-QUALITY
"All in all, the food was great (except for the dessserts).",negative,FOOD-QUALITY
I've had it for a minth and so far it's shut down completely 3 times.,negative,LAPTOP-QUALITY
"The crust has a great bite and a good chew, the sauce is light with a nice acidity to it, the salt from the cheese is great, really heightens the flavor of all the other components.",positive,FOOD-QUALITY
"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",negative,FOOD-QUALITY
Now 17 months later they want (would not say exact amount) $165.00 to $400 to fix the machine.,negative,SUPPORT-PRICE
Gross food – Wow-,negative,FOOD-QUALITY
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",negative,FOOD-QUALITY
We have gone for dinner only a few times but the same great quality and service is given.,positive,SERVICE-GENERAL
"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",negative,SERVICE-GENERAL
"I upgraded it's RAM to 2GB, I am very happy with it.",positive,LAPTOP-GENERAL
"However, it does not have a DVD drive, neither does it afford one the opportunity to connect an external DVD drive as the manufacturer did not make any point ofconnection of an external drive.",negative,LAPTOP-USABILITY
"It is terrific, as is the value.",positive,FOOD-PRICES
"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",positive,LAPTOP-QUALITY
My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent.,positive,RESTAURANT-GENERAL
"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",negative,FOOD-QUALITY
Apple is unrivaled in terms of build quality and functionality.,positive,COMPANY-GENERAL
This is the kind of place you'd like to take all your friends to and still keep a secret.,positive,RESTAURANT-MISCELLANEOUS
The sound is disappointing.,negative,MULTIMEDIA_DEVICES-QUALITY
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",negative,FOOD-PRICES
I had a great experience.,positive,RESTAURANT-GENERAL
"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",positive,LAPTOP-DESIGN_FEATURES
Spreads and toppings are great - though a bit pricey.,negative,FOOD-PRICES
We both opted for a pasta dish and they were served timely and fresh.,positive,FOOD-QUALITY
I love this place,positive,RESTAURANT-GENERAL
"The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.",negative,FOOD-QUALITY
The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.,positive,LAPTOP-OPERATION_PERFORMANCE
"Raga's is a romantic, cozy restaurant.",positive,AMBIENCE-GENERAL
Excellent LED monitor and well equipped.,positive,DISPLAY-DESIGN_FEATURES
"limited menu, no-so-fresh ingredients, thinly-sliced fish, fall-apart rice.",negative,FOOD-STYLE_OPTIONS
This is the first place I've been that a runner remembers my order... hope he likes his job because I have half a mind to steal him for my restaurant.,positive,SERVICE-GENERAL
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,negative,BATTERY-OPERATION_PERFORMANCE
Perfect trifecta!,positive,LAPTOP-GENERAL
Great sushi experience.,positive,FOOD-QUALITY
"A cool bar with great food, and tons of excellent beer.",positive,DRINKS-QUALITY
"A few tips: skip the turnip cake, roast pork buns and egg custards.",negative,FOOD-QUALITY
It's a great place to order from or sit-in.,positive,RESTAURANT-MISCELLANEOUS
"The vibe is very relaxed and cozy, service was great and the food was excellent!",positive,FOOD-QUALITY
"La Rosa waltzes in, and I think they are doing it the best.",positive,FOOD-QUALITY
the i3 processor doesn't seem to run hot and the fan rarely turns on.,positive,CPU-QUALITY
I have to keep turning it until it decides to lower and there is no mute.,negative,MULTIMEDIA_DEVICES-DESIGN_FEATURES
"Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return.",negative,SERVICE-GENERAL
"There's another girl who I can't describe, she is about 5'6"" with brown hair, who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said, so her uninvited opinions are often out of context and nothing to do with what you're *really* talking about.",negative,SERVICE-GENERAL
"He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!",positive,FOOD-QUALITY
What a lemon!!,negative,LAPTOP-QUALITY
"Great food, amazing service, this place is a class act.",positive,RESTAURANT-GENERAL
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",positive,LAPTOP-OPERATION_PERFORMANCE
"There was a small wait, but shorter than I expected.",positive,SERVICE-GENERAL
I never write on these sites but this restaurant is def worth commending!,positive,RESTAURANT-GENERAL
"The restaurant has a Family feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.",positive,FOOD-STYLE_OPTIONS
This is my first time writing a review for a restaurant because the food and service was excellent.,positive,FOOD-QUALITY
"Obviously, this Macbook is P-E-R-F-E-C-T for me because it does exactly what I need in an easy-to-function way.",positive,LAPTOP-GENERAL
However I am very upset that it doesn't have the superdrive built in!,negative,LAPTOP-DESIGN_FEATURES
I have now been waiting almost a minute for the computer management window to open!,negative,LAPTOP-OPERATION_PERFORMANCE
"In the three years I've had my MacBook Pro, I have never had a virus on my computer, and I do a lot of work on the internet.",positive,LAPTOP-QUALITY
"At my age, I need this kind of laptop.",positive,LAPTOP-GENERAL
"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",positive,LAPTOP-MISCELLANEOUS
Will probably never buy a HP again.,negative,COMPANY-GENERAL
"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",positive,DISPLAY-QUALITY
I would like at least a 4 hr. battery life.,negative,BATTERY-OPERATION_PERFORMANCE
"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.",positive,LAPTOP-PORTABILITY
"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.",positive,COMPANY-GENERAL
The seats are uncomfortable if you are sitting against the wall on wooden benches.,negative,AMBIENCE-GENERAL
I'm glad I was introduced to this place and this is a rare gem in NY.,positive,RESTAURANT-GENERAL
"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",positive,AMBIENCE-GENERAL
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",positive,FOOD-QUALITY
One really nice thing about Lenovo laptops is that they are not cluttered with a bunch or trial software.,positive,SOFTWARE-MISCELLANEOUS
It runs very quiet too which is a plus.,positive,LAPTOP-QUALITY
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,positive,LAPTOP-CONNECTIVITY
"The resolution is gorgeous, the computer is light, it does everything I need and the interface is pretty intuitive.",positive,LAPTOP-DESIGN_FEATURES
Average performance on almost every benchmark but priced accordingly.,positive,LAPTOP-PRICE
I recommend for word processing and internet users.,positive,LAPTOP-MISCELLANEOUS
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",positive,DISPLAY-GENERAL
The touch screen response is fast and it picks up bluetooth and wifi FAST.,positive,DISPLAY-OPERATION_PERFORMANCE
"The fish was adequate, but inexpertly sliced.",negative,FOOD-STYLE_OPTIONS
Love the key layout and the built-in mouse pad - all work well and are properly sized.,positive,MOUSE-OPERATION_PERFORMANCE
This little place definitely exceeded my expectations and you sure get a lot of food for your money.,positive,RESTAURANT-GENERAL
"2 months later, the battery went.",negative,BATTERY-QUALITY
Great Laptop!,positive,LAPTOP-GENERAL
"Price is high but the food is good, so I would come back again.",positive,FOOD-QUALITY
Friendly staff that actually lets you enjoy your meal and the company you're with.,positive,SERVICE-GENERAL
The Awesomest of the awesomest.,positive,LAPTOP-GENERAL
Has a 5-6 hour battery life.,positive,BATTERY-OPERATION_PERFORMANCE
I've lived in NY for 5 years and this place has it all.,positive,RESTAURANT-GENERAL
5 months dead again.,negative,LAPTOP-QUALITY
Its still going.,positive,LAPTOP-QUALITY
power supply went bad after 2 weeks --,negative,POWER_SUPPLY-QUALITY
do not buy you will be disappointed.,negative,LAPTOP-GENERAL
This laptop is amazing!,positive,LAPTOP-GENERAL
"Very ""normal Indian food"", but done really well.",neutral,FOOD-STYLE_OPTIONS
Easily the worst stir-fried squid I've ever tasted.,negative,FOOD-QUALITY
"Waited on getting this computer, but it has been a great change.",positive,LAPTOP-GENERAL
They have a huge selection of different cream cheeses and all of their salads are great.,positive,FOOD-QUALITY
"Mine came at $1,700 w/o a DVD burner (!).",negative,LAPTOP-DESIGN_FEATURES
"Excellent performance, especially given its price point.",positive,LAPTOP-OPERATION_PERFORMANCE
The only pro to this computer is it was under $600!,negative,LAPTOP-GENERAL
"I took one bite from the $24 salmon, and I have never, in the 17 years I have been going to restaurants tasted salmon as fishy, as dry, and as bland as the one in Flatbush Farms.",negative,FOOD-PRICES
The price is another driving influence that made me purchase this laptop.,positive,LAPTOP-PRICE
We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,positive,FOOD-QUALITY
Also they were $15 each!,negative,FOOD-PRICES
The keyboard is a little wonky with having to use the Function button to get the F-keys but with how infrequently i use those it is a non-issue.,negative,KEYBOARD-DESIGN_FEATURES
The battery has never worked well.,negative,BATTERY-OPERATION_PERFORMANCE
"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",negative,LAPTOP-PORTABILITY
I tried a couple other dishes but wasn't too impressed.,neutral,FOOD-QUALITY
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,negative,MOUSE-QUALITY
B) a DVD/CD player.,positive,LAPTOP-DESIGN_FEATURES
"An unpretentious spot in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.",positive,SERVICE-GENERAL
"So far, so good.",positive,LAPTOP-GENERAL
just what we needed for our daughter to do her on line math class,positive,LAPTOP-MISCELLANEOUS
"The food is good, I can't lie.",positive,FOOD-QUALITY
Skype is just so dang cool with this machine too.,positive,SOFTWARE-GENERAL
Awsome Pizza especially the Margheritta slice.,positive,FOOD-QUALITY
I'm so disappointed.,negative,LAPTOP-GENERAL
"Each time we've been, the front of house staff (not the waiters - they're fantastic - but the people who greet and seat you) has been so hideous to us that were it not for the exceptional fish dishes I would never return.",positive,FOOD-QUALITY
"But, for the cost this is a winner.",neutral,LAPTOP-PRICE
"Great food, good size menu, great service and an unpretensious setting.",positive,AMBIENCE-GENERAL
"I am very happy I bought this Mac, well worth the extra money.",neutral,LAPTOP-PRICE
I would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,positive,LAPTOP-GENERAL
you should travel from the Bronx to try it...,positive,RESTAURANT-GENERAL
Everyone was more then happy with his choices.,positive,SERVICE-GENERAL
The pizza is delicious and the proprietor is one of the nicest in NYC.,positive,SERVICE-GENERAL
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,positive,LAPTOP-GENERAL
The dining room is quietly elegant with no music to shout over -- how refreshing!,positive,AMBIENCE-GENERAL
"The battery never held a charge longer than one hour and within two months, stopped holding a charge for more than ten minutes.",negative,BATTERY-OPERATION_PERFORMANCE
The prices are wonderfully low.,positive,RESTAURANT-PRICES
Needless to say I told them No and have a nice day and hung up!,negative,SUPPORT-QUALITY
please don't fool us.,negative,RESTAURANT-GENERAL
"I wish it had a webcam though, then it would be perfect!",positive,LAPTOP-GENERAL
"I also ordered the Change Mojito, which was out of this world.",positive,DRINKS-QUALITY
"Though it's been crowded most times I've gone here, Bark always delivers on their food.",positive,FOOD-QUALITY
"The improvements to the OS have been relatively gradual, but substantive.",positive,OS-GENERAL
And Toshiba is a quality supplier.,positive,COMPANY-GENERAL
"Great product, very easy to use and great graphics.",positive,LAPTOP-GENERAL
That's a nuisance for family Skype calls...only one can speak at a time.,negative,LAPTOP-USABILITY
"I have had Dell Desktops for years, so had no qualms about buying a Dell laptop.",negative,LAPTOP-GENERAL
"Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.",neutral,LAPTOP-DESIGN_FEATURES
"Very, very nice",positive,RESTAURANT-GENERAL
I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan.,positive,AMBIENCE-GENERAL
Go here for a romantic dinner but not for an all out wow dining experience.,positive,AMBIENCE-GENERAL
Nightly my computer defrags itself and runs a virus scan.,negative,LAPTOP-OPERATION_PERFORMANCE
"I purchased a  Dell Inspiron I3531-1200BK and so far I love it, this model has a true life monitor, which is worth the extra bucks.",positive,DISPLAY-DESIGN_FEATURES
With the theater 2 blocks away we had a delicious meal in a beautiful room.,positive,AMBIENCE-GENERAL
It is expensive but well worth the money.,positive,RESTAURANT-GENERAL
Decent wine at reasonable prices.,positive,DRINKS-PRICES
I couldn't believe how long the battery lasted on a single charge.,positive,BATTERY-OPERATION_PERFORMANCE
The server was really cool and served us our food and drinks with a smile.,positive,SERVICE-GENERAL
"I would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",positive,LAPTOP-GENERAL
Mazing interior.,negative,AMBIENCE-GENERAL
I never have had a good result with this computer.,negative,LAPTOP-GENERAL
"It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.",positive,GRAPHICS-GENERAL
"Needed a 2 usb adapt. for network plug, no problem.",neutral,LAPTOP-CONNECTIVITY
"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",negative,FOOD-STYLE_OPTIONS
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",negative,DISPLAY-QUALITY
"I just got this laptop for college, and so far I am very happy with it.",positive,LAPTOP-GENERAL
"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",positive,LAPTOP-OPERATION_PERFORMANCE
"Again, the same problem, the right speaker did not work.",negative,MULTIMEDIA_DEVICES-OPERATION_PERFORMANCE
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",positive,FOOD-QUALITY
just wifi....,negative,LAPTOP-CONNECTIVITY
"the hinge design forced you to place various connections all around the computer, left right and front.",negative,LAPTOP-USABILITY
And I hate to say this but I doubt I'll ever go back.,negative,RESTAURANT-GENERAL
"The hot dogs are top notch, and they're Slamwich is amazing!",positive,FOOD-QUALITY
Lenovo is the best laptop.,positive,LAPTOP-GENERAL
I did not try the caviar but I tried their salmon and crab salad (they are all good),positive,FOOD-QUALITY
Will absolutely visit again.,positive,RESTAURANT-GENERAL
Not the typical NYC gimmick theme restaurant.,positive,AMBIENCE-GENERAL
"In fact, it appears he is going to go postal at any moment.",negative,SERVICE-GENERAL
Can listen to my music and watch my videos with ease and with a great display.,positive,DISPLAY-GENERAL
Overpriced and not tasty,negative,FOOD-PRICES
"Our teenage kids love it, too.",positive,RESTAURANT-GENERAL
