domain,review_id,sentence_id,text,aspect,polarity,label
laptop,24,24:3,The battery has never worked well.,BATTERY#OPERATION_PERFORMANCE,negative,0
laptop,24,24:4,The battery gets so HOT it is scary.,BATTERY#QUALITY,negative,0
laptop,24,24:5,"Yet, HP won't do anything about the problem.",SUPPORT#QUALITY,negative,0
laptop,24,24:6,I returned the computer to HP and they kept it for 3 months.,SUPPORT#QUALITY,negative,0
laptop,24,24:7,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.,SUPPORT#QUALITY,negative,0
laptop,24,24:8,"So, you can imagine how unhappy I am with this item.",LAPTOP#GENERAL,negative,0
laptop,24,24:9,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.,LAPTOP#QUALITY,negative,0
laptop,24,24:11,"Well, they don't care a bunch.",SUPPORT#QUALITY,negative,0
laptop,24,24:12,"But, at the same time they (the company) would not and could not do anything about my problem.",SUPPORT#QUALITY,negative,0
laptop,24,24:13,I would  say if you want to buy one of these machines be careful.,LAPTOP#GENERAL,negative,0
laptop,24,24:14,"And, if you are going to deal with HP be careful.",COMPANY#GENERAL,negative,0
laptop,24,24:15,"In my house, HP is a nasty word.",COMPANY#GENERAL,negative,0
laptop,277,277:0,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop.",LAPTOP#GENERAL,positive,2
laptop,277,277:1,The netbook is easier for me to take to bed and carry around with me.,LAPTOP#PORTABILITY,positive,2
laptop,277,277:2,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#USABILITY,neutral,1
laptop,277,277:2,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#DESIGN_FEATURES,neutral,1
laptop,277,277:3,I have not have any problems.,LAPTOP#GENERAL,positive,2
laptop,178,178:0,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me.",LAPTOP#GENERAL,positive,2
laptop,178,178:1,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,LAPTOP#QUALITY,positive,2
laptop,178,178:2,Its still going.,LAPTOP#QUALITY,positive,2
laptop,178,178:3,It is in the best condition and has a really high quality.,LAPTOP#QUALITY,positive,2
laptop,178,178:4,This is something i would deffinately reccomend to someone.,LAPTOP#GENERAL,positive,2
laptop,178,178:5,You will not regret buying such a great thing like this!,LAPTOP#GENERAL,positive,2
laptop,178,178:6,It can't get any better.,LAPTOP#GENERAL,positive,2
laptop,77,77:0,"Waited on getting this computer, but it has been a great change.",LAPTOP#GENERAL,positive,2
laptop,77,77:1,Ease of use is just one of the benefits I love about my Mac.,LAPTOP#USABILITY,positive,2
laptop,342,342:0,This laptop meets every expectation and Windows 7 is great!,LAPTOP#GENERAL,positive,2
laptop,342,342:0,This laptop meets every expectation and Windows 7 is great!,OS#GENERAL,positive,2
laptop,342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#USABILITY,positive,2
laptop,342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.",LAPTOP#CONNECTIVITY,positive,2
laptop,342,342:2,It's even easy to hook up to other wireless networks.,LAPTOP#CONNECTIVITY,positive,2
laptop,342,342:3,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,BATTERY#OPERATION_PERFORMANCE,neutral,1
laptop,342,342:4,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,BATTERY#OPERATION_PERFORMANCE,positive,2
laptop,348,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#GENERAL,positive,2
laptop,348,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,348,348:0,"Most everything is fine with this machine: speed, capacity, build.",HARD_DISC#DESIGN_FEATURES,positive,2
laptop,348,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#QUALITY,positive,2
laptop,348,348:1,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative,0
laptop,347,347:0,I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive,2
laptop,347,347:0,I bought it for really cheap also and it's AMAZING.,LAPTOP#GENERAL,positive,2
laptop,347,347:2,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive,2
laptop,339,339:0,"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,339,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive,2
laptop,339,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#CONNECTIVITY,positive,2
laptop,273,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,273,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#QUALITY,positive,2
laptop,273,273:1,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS#USABILITY,neutral,1
laptop,273,273:2,The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,273,273:2,The unibody design is edgy and durable.,LAPTOP#QUALITY,positive,2
laptop,273,273:3,The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive,2
laptop,273,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,MOUSE#DESIGN_FEATURES,positive,2
laptop,273,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,LAPTOP#USABILITY,positive,2
laptop,273,273:6,A key contributor that led me to Mac is the art aspect.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,273,273:7,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,SOFTWARE#MISCELLANEOUS,positive,2
laptop,273,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#GENERAL,positive,2
laptop,273,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,273,273:9,It's more expensive but well worth it in the long run.,LAPTOP#PRICE,negative,0
laptop,273,273:9,It's more expensive but well worth it in the long run.,LAPTOP#GENERAL,positive,2
laptop,240,240:0,"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive,2
laptop,240,240:0,"Great product, very easy to use and great graphics.",LAPTOP#USABILITY,positive,2
laptop,240,240:0,"Great product, very easy to use and great graphics.",GRAPHICS#GENERAL,positive,2
laptop,240,240:1,"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative,0
laptop,240,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive,2
laptop,240,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#PRICE,neutral,1
laptop,243,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,243,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,243,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#DESIGN_FEATURES,neutral,1
laptop,243,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#PORTABILITY,positive,2
laptop,243,243:2,I'm very happy with this machine!,LAPTOP#GENERAL,positive,2
laptop,285,285:0,"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive,2
laptop,285,285:0,"I love the size, keyboard, the functions.",KEYBOARD#GENERAL,positive,2
laptop,285,285:0,"I love the size, keyboard, the functions.",LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,285,285:1,I don't really have a complaint.,LAPTOP#GENERAL,positive,2
laptop,285,285:2,"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive,2
laptop,285,285:2,"It is easy to use, good quality and good price.",LAPTOP#QUALITY,positive,2
laptop,285,285:2,"It is easy to use, good quality and good price.",LAPTOP#PRICE,positive,2
laptop,285,285:3,Perfect trifecta!,LAPTOP#GENERAL,positive,2
laptop,285,285:4,I would recommend this product.,LAPTOP#GENERAL,positive,2
laptop,212,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative,0
laptop,212,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,LAPTOP#GENERAL,negative,0
laptop,93,93:0,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,SUPPORT#QUALITY,neutral,1
laptop,93,93:2,The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative,0
laptop,93,93:3,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative,0
laptop,93,93:5,If this is an improvement in Customer Service then I would hate too see what it was before!,SUPPORT#QUALITY,negative,0
laptop,93,93:6,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,SUPPORT#QUALITY,negative,0
laptop,93,93:7,Needless to say I told them No and have a nice day and hung up!,SUPPORT#QUALITY,negative,0
laptop,93,93:8,I can guarantee this will be the last Dell I will ever purchase!,LAPTOP#GENERAL,negative,0
laptop,93,93:8,I can guarantee this will be the last Dell I will ever purchase!,COMPANY#GENERAL,negative,0
laptop,93,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,LAPTOP#QUALITY,negative,0
laptop,93,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,SUPPORT#QUALITY,negative,0
laptop,93,93:10,I do not recommend this company or their products!!!!,COMPANY#GENERAL,negative,0
laptop,252,252:0,"So far, a great product.",LAPTOP#GENERAL,positive,2
laptop,252,252:1,"High price tag, however.",LAPTOP#PRICE,negative,0
laptop,252,252:2,Still trying to learn how to use it.,LAPTOP#USABILITY,neutral,1
laptop,19,19:0,it is the worst computer dell ever made.,LAPTOP#GENERAL,negative,0
laptop,19,19:1,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative,0
laptop,19,19:1,it is hard to fix and makes it a hassle to own one.,LAPTOP#GENERAL,negative,0
laptop,19,19:2,breaks easily.,LAPTOP#QUALITY,negative,0
laptop,19,19:3,only good thing is the graphics quality.,GRAPHICS#QUALITY,positive,2
laptop,165,165:0,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#DESIGN_FEATURES,positive,2
laptop,165,165:0,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#GENERAL,positive,2
laptop,165,165:2,No Viruses!,LAPTOP#QUALITY,positive,2
laptop,165,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,165,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#USABILITY,positive,2
laptop,165,165:4,I am loyal to Apple.,COMPANY#GENERAL,positive,2
laptop,165,165:8,I am very Happy!,LAPTOP#GENERAL,positive,2
laptop,111,111:0,This just keeps having it's hard drive replaced!,HARD_DISC#QUALITY,negative,0
laptop,111,111:1,Acer won't replace the laptop.,SUPPORT#QUALITY,negative,0
laptop,111,111:2,the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY#GENERAL,negative,0
laptop,111,111:3,This thing is a lemon.,LAPTOP#QUALITY,negative,0
laptop,292,292:0,This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive,2
laptop,292,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,LAPTOP#USABILITY,positive,2
laptop,292,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,SUPPORT#QUALITY,positive,2
laptop,292,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",BATTERY#OPERATION_PERFORMANCE,positive,2
laptop,292,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,292,292:3,It does run a little warm but that is a negligible concern.,LAPTOP#QUALITY,neutral,1
laptop,359,359:2,I have had nothing but problems since the day I took it out of the box!,LAPTOP#GENERAL,negative,0
laptop,359,359:2,I have had nothing but problems since the day I took it out of the box!,LAPTOP#QUALITY,negative,0
laptop,359,359:3,My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL,negative,0
laptop,359,359:4,It would not let me connect to my Wifi system where I lived.,LAPTOP#CONNECTIVITY,negative,0
laptop,359,359:5,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,SUPPORT#QUALITY,negative,0
laptop,359,359:6,"Then just the other day, my left ""mouse"" button snapped!",MOUSE#QUALITY,negative,0
laptop,359,359:7,"Being only 2 months old, I am not a happy camper!",LAPTOP#QUALITY,negative,0
laptop,359,359:8,Buyer Beware.,LAPTOP#GENERAL,negative,0
laptop,359,359:9,"this one, in my opinion, might be a lemon!",LAPTOP#QUALITY,negative,0
laptop,95,95:0,It rarely works and when it does it's incredibly slow.,LAPTOP#QUALITY,negative,0
laptop,95,95:0,It rarely works and when it does it's incredibly slow.,LAPTOP#OPERATION_PERFORMANCE,negative,0
laptop,95,95:1,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP#QUALITY,negative,0
laptop,95,95:2,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative,0
laptop,360,360:0,Like the price and operation.,LAPTOP#PRICE,positive,2
laptop,360,360:0,Like the price and operation.,LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",LAPTOP#USABILITY,negative,0
laptop,360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#USABILITY,negative,0
laptop,360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#QUALITY,negative,0
laptop,360,360:2,"But, for the cost this is a winner.",LAPTOP#GENERAL,positive,2
laptop,360,360:2,"But, for the cost this is a winner.",LAPTOP#PRICE,neutral,1
laptop,66,66:0,I absolutely love my mac!,LAPTOP#GENERAL,positive,2
laptop,66,66:1,I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive,2
laptop,384,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,LAPTOP#GENERAL,positive,2
laptop,384,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,PORTS#QUALITY,negative,0
laptop,384,384:1,Apparently they are defective since they are not securely attached.,PORTS#QUALITY,negative,0
laptop,384,384:2,I can barely use any usb devices because they will not stay connected properly.,LAPTOP#CONNECTIVITY,negative,0
laptop,384,384:3,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT#QUALITY,negative,0
laptop,384,384:4,I think I might rather suffer for something that is simple to fix in my opinion.,SUPPORT#QUALITY,negative,0
laptop,54,54:0,I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL,negative,0
laptop,54,54:1,I spent alot of money on this product and its been a nightmare.,LAPTOP#PRICE,negative,0
laptop,54,54:1,I spent alot of money on this product and its been a nightmare.,LAPTOP#GENERAL,negative,0
laptop,54,54:2,And having to deal with the company has been a even worse nightmare.,SUPPORT#QUALITY,negative,0
laptop,54,54:4,They sent it back with a huge crack in it and it still didn't work.,SUPPORT#QUALITY,negative,0
laptop,54,54:5,And that was the fourth time ive sent it to them to get fixed.,SUPPORT#QUALITY,negative,0
laptop,54,54:6,Its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT#QUALITY,negative,0
laptop,54,54:7,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,COMPANY#GENERAL,negative,0
laptop,176,176:0,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,LAPTOP#GENERAL,positive,2
laptop,176,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",DISPLAY#GENERAL,positive,2
laptop,176,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",BATTERY#OPERATION_PERFORMANCE,positive,2
laptop,176,176:2,"A little pricey but it is well, well worth it.",LAPTOP#PRICE,negative,0
laptop,176,176:2,"A little pricey but it is well, well worth it.",LAPTOP#GENERAL,positive,2
laptop,176,176:4,It is amazing.,LAPTOP#GENERAL,positive,2
laptop,59,59:0,In the first moth of owning this computer its hardrive failed which had to be replaced.,HARD_DISC#QUALITY,negative,0
laptop,59,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#QUALITY,negative,0
laptop,59,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#OPERATION_PERFORMANCE,negative,0
laptop,59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#QUALITY,negative,0
laptop,59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#OPERATION_PERFORMANCE,negative,0
laptop,59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,HARDWARE#QUALITY,negative,0
laptop,59,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#GENERAL,negative,0
laptop,59,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#QUALITY,negative,0
laptop,170,170:0,Has a 5-6 hour battery life.,BATTERY#OPERATION_PERFORMANCE,positive,2
laptop,170,170:2,It is easy to use and lightweight.,LAPTOP#USABILITY,positive,2
laptop,170,170:2,It is easy to use and lightweight.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,170,170:3,Was very much worth the price i paid.,LAPTOP#GENERAL,positive,2
laptop,170,170:3,Was very much worth the price i paid.,LAPTOP#PRICE,positive,2
laptop,90,90:0,This netbook went bad on me after 3 days.,LAPTOP#QUALITY,negative,0
laptop,90,90:1,There is a blank lighted screen when I start and that is all.,DISPLAY#OPERATION_PERFORMANCE,negative,0
laptop,220,220:1,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#QUALITY,negative,0
laptop,220,220:1,"Three weeks after I bought the netbook, the screen quit working.",DISPLAY#OPERATION_PERFORMANCE,negative,0
laptop,220,220:2,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,DISPLAY#QUALITY,negative,0
laptop,220,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#QUALITY,negative,0
laptop,220,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",LAPTOP#OPERATION_PERFORMANCE,negative,0
laptop,220,220:3,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",BATTERY#OPERATION_PERFORMANCE,positive,2
laptop,278,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#PORTABILITY,positive,2
laptop,278,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,278,278:0,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,LAPTOP#GENERAL,positive,2
laptop,135,135:0,The So called laptop Runs to Slow and I hate it!,LAPTOP#OPERATION_PERFORMANCE,negative,0
laptop,135,135:0,The So called laptop Runs to Slow and I hate it!,LAPTOP#GENERAL,negative,0
laptop,135,135:1,Do not  buy it!,LAPTOP#GENERAL,negative,0
laptop,135,135:2,It is the worst laptop ever,LAPTOP#GENERAL,negative,0
laptop,159,159:0,"The image is great, and the soud is excelent.",DISPLAY#QUALITY,positive,2
laptop,159,159:0,"The image is great, and the soud is excelent.",MULTIMEDIA_DEVICES#QUALITY,positive,2
laptop,159,159:1,i love ths notebook.,LAPTOP#GENERAL,positive,2
laptop,57,57:0,I love the glass touchpad.,MOUSE#DESIGN_FEATURES,positive,2
laptop,57,57:1,Easy learning curve.,LAPTOP#USABILITY,positive,2
laptop,57,57:2,Also the display is exceptional!,DISPLAY#GENERAL,positive,2
laptop,76,76:0,I have loved this since i took it out of the box.,LAPTOP#GENERAL,positive,2
laptop,76,76:1,The battery is really long.,BATTERY#OPERATION_PERFORMANCE,positive,2
laptop,76,76:2,"the features are great, the only thing it needs is better speakers.",LAPTOP#DESIGN_FEATURES,positive,2
laptop,76,76:2,"the features are great, the only thing it needs is better speakers.",MULTIMEDIA_DEVICES#GENERAL,negative,0
laptop,28,28:0,Small and light weight.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,28,28:1,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,0
laptop,28,28:1,Speakers too small to be of any real use.,MULTIMEDIA_DEVICES#USABILITY,negative,0
laptop,28,28:2,Keyboard good sized and wasy to use.,KEYBOARD#DESIGN_FEATURES,positive,2
laptop,28,28:2,Keyboard good sized and wasy to use.,KEYBOARD#USABILITY,positive,2
laptop,28,28:3,I like it!,LAPTOP#GENERAL,positive,2
laptop,267,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#GENERAL,positive,2
laptop,267,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,267,267:0,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,LAPTOP#PORTABILITY,positive,2
laptop,132,132:0,"Needless to say, not to happy with the product.",LAPTOP#GENERAL,negative,0
laptop,167,167:0,This is a great machine!,LAPTOP#GENERAL,positive,2
laptop,167,167:1,"The design is awesome, quality is unprecedented.",LAPTOP#DESIGN_FEATURES,positive,2
laptop,167,167:1,"The design is awesome, quality is unprecedented.",LAPTOP#QUALITY,positive,2
laptop,169,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#QUALITY,positive,2
laptop,169,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#DESIGN_FEATURES,positive,2
laptop,169,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#PRICE,positive,2
laptop,169,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#OPERATION_PERFORMANCE,positive,2
laptop,197,197:0,It is by far one of the greatest investments I have ever made.,LAPTOP#GENERAL,positive,2
laptop,284,284:1,"Am very glad I bought it, great netbook, low price.",LAPTOP#GENERAL,positive,2
laptop,284,284:1,"Am very glad I bought it, great netbook, low price.",LAPTOP#PRICE,positive,2
laptop,299,299:0,Very good quality and well made.,LAPTOP#QUALITY,positive,2
laptop,299,299:1,Great pick for portability and affordability.,LAPTOP#PORTABILITY,positive,2
laptop,299,299:1,Great pick for portability and affordability.,LAPTOP#PRICE,positive,2
laptop,299,299:2,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,LAPTOP#DESIGN_FEATURES,positive,2
laptop,321,321:0,The only problem is a lack of screen resolutions!,DISPLAY#QUALITY,negative,0
laptop,321,321:0,The only problem is a lack of screen resolutions!,LAPTOP#GENERAL,positive,2
laptop,325,325:0,"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#PRICE,positive,2
laptop,325,325:0,"If you need an affordable, entry-level laptop, this will fit the bill.",LAPTOP#MISCELLANEOUS,positive,2
laptop,325,325:1,"I dislike the weight and size, cubersome.",LAPTOP#PORTABILITY,negative,0
laptop,325,325:1,"I dislike the weight and size, cubersome.",LAPTOP#DESIGN_FEATURES,negative,0
laptop,325,325:2,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#QUALITY,negative,0
laptop,325,325:2,I dislike the quality and the placement of the speakers.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,0
laptop,325,325:3,"Overall, it's ok.",LAPTOP#GENERAL,neutral,1
laptop,326,326:0,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",LAPTOP#DESIGN_FEATURES,negative,0
laptop,326,326:1,This laptop is very large and barely fits in any carrying cases.,LAPTOP#DESIGN_FEATURES,negative,0
